company,ticker,date,metric_id,value,unit,period,source_type,raw_text,context_before,context_after,header_path,stub_path,confidence,section,is_trap,disposition,disposition_reason
CART,CART,2023-09-15,cm_monthly_active_users,7.7 million,count,other,html_table,7.7 million,,,"Customers. We help 7.7 million monthly active
orderers26shop at their favorite retailers and enjoy selection, quality, value, and convenience. We reach over 95% of households in North
America.27Our membership program, Instacart+, offers expanded customer benefits to our 5.1 million members,28including unlimited free
delivery on orders over a certain size, a reduced service fee, credit back on eligible pickup orders, and exclusive benefits.",,LOW,unknown,False,,
CART,CART,2023-09-15,cm_monthly_active_users,6.2,count,2023-04-01 to 2023-06-30,text,6.2,"ped at more than twice as many retail banners since joining Instacart than non-members.56 The greater engagement of Instacart+ members grows over time, with an Instacart+ member generating on average","times more GTV 52 Instacart estimate based on the weighted average number of retail banners per monthly active orderer by geographic zone for the quarter ended June 30, 2023. 53 Instacart estimate bas",,,LOW,cover,False,,
CART,CART,2023-09-15,cm_monthly_active_users,27,other,2023-06-30,text,27,"individuals, as one customer may register for, and use, multiple accounts. Fluctuations in the number of monthly active orderers are not necessarily indicative of changes in our financial performance.","U.S. Census Bureau (July 2021) and Statistics Canada (2021). Based on number of households in Instacart’s active delivery-enabled or pickup zones as of June 30, 2023. 28 As of June 30, 2023. Includes",,,MEDIUM,cover,False,,
CART,CART,2023-09-15,cm_monthly_active_users,53,other,2023-04-01 to 2023-06-30,text,53,"generating on average 6.2 times more GTV 52 Instacart estimate based on the weighted average number of retail banners per monthly active orderer by geographic zone for the quarter ended June 30, 2023.","Instacart estimate based on the average number of shopping trips per week and the average time spent shopping in-store per shopping trip in the United States in 2022. 54 As of June 30, 2023. 55 For th",,,LOW,cover,False,,
CART,CART,2023-09-15,cm_monthly_active_users,30,other,2023-04-01 to 2023-06-30,text,30,t+ member generating on average 6.2 times more GTV 52 Instacart estimate based on the weighted average number of retail banners per monthly active orderer by geographic zone for the quarter ended June,", 2023. 53 Instacart estimate based on the average number of shopping trips per week and the average time spent shopping in-store per shopping trip in the United States in 2022. 54 As of June 30, 2023",,,LOW,cover,False,,
CART,CART,2023-09-15,cm_monthly_active_users,79,other,other,text,79,"expanding the breadth of services we offer to retailers, acquiring new customers, and increasing engagement and orders from our new and existing customers. We have 7.7 million monthly active orderers,","a small fraction of the households in North America. Prior to 2021, we did not spend significantly on sales and marketing since the majority of our growth in our new customers was organic. Beginning i",,,LOW,mda,False,,
CART,CART,2023-09-15,cm_monthly_active_users,57,other,other,text,57,". • First-Party Data. To power Instacart Ads, we use first-party data collected through a customer’s activities on Instacart, including browsing, searching, purchasing, and choosing replacements. This",Instacart+ GTV is based on average cumulative GTV from paying Instacart+ monthly active orderers for the January 2017 through June 2018 monthly customer cohorts over a five-year period following each,,,LOW,cover,False,,
CART,CART,2023-09-15,cm_monthly_active_users,26,other,other,text,26,"e estimate that the sales volume we power for our top 20 retail partners represented 5.0% of their total sales in 2022, up from 0.6% in 2018.25 • Customers. We help 7.7 million monthly active orderers","shop at their favorite retailers and enjoy selection, quality, value, and convenience. We reach over 95% of households in North America.27 Our membership program, Instacart+, offers expanded customer",,,LOW,cover,False,,
CART,CART,2023-09-15,cm_monthly_active_users,13,other,other,text,13,consumers on-demand delivery from the stores they know and trust. We help our retail partners reach 7.7 million monthly active orderers who spend approximately $317 per month on average on Instacart.,"Retailers reach customers through both Instacart Marketplace, where customers can shop from their favorite retailers through our app or website, and retailers’ owned and operated online storefronts th",,,LOW,cover,False,,
CART,CART,2023-09-15,cm_new_customers_acquired,7.7 million,count,other,text,7.7 million,"ow orders for our retail partners by expanding the breadth of services we offer to retailers, acquiring new customers, and increasing engagement and orders from our new and existing customers. We have","monthly active orderers,79 a small fraction of the households in North America. Prior to 2021, we did not spend significantly on sales and marketing since the majority of our growth in our new custome",,,LOW,mda,False,,
CART,CART,2023-09-15,cm_average_order_value,$110,currency,2022-01-01 to 2022-12-31,html_table,$110,,,"Gross Transaction Value.GTV is the value of the products sold based on prices shown on Instacart,
in addition to applicable taxes, deposits and other local fees, customer tips, which go directly to shoppers, customer fees, which include flat membership fees related to Instacart+ that are charged monthly or annually, and other fees. GTV consists
of orders completed through Instacart Marketplace and services that are part of Instacart Enterprise Platform. Given grocery is one of the largest recurring monthly household expenses, we have a high average order value, which was $110 in 2022. This
large average order value allows us to keep fees as a percent of GTV lower for retailers and customers relative to other on-demand delivery platforms.78Of the total average order value of $110 in
2022, retailers and customers incurred an average of $16 in fees before netting shopper earnings and customer incentives, coupons, and refunds, as described below, to arrive at transaction revenue. See the section titled “—Key Business andNon-GAAPMetrics—Gross Transaction Value (GTV)” for additional information about GTV.",,HIGH,unknown,False,,
CART,CART,2023-09-15,cm_average_order_value,$100,currency,other,text,$100,"This dynamic is also observed in our customers’ spending habits. On Instacart, the average order value is $110, compared to","for the broader U.S. grocery market.151 This translates into a monthly active orderer spending on average $226 per month in the year of their first order, increasing up to $480 per month by Year 6,152",,,LOW,mda,False,,
CART,CART,2023-09-15,cm_purchase_transactions_overall,262.6 million,count,2022-01-01 to 2022-12-31,html_table,262.6 million,,,"stores, coupled with 7.7 million monthly active orderers and 262.6 million orders fulfilled in 2022 alone.146We help fulfill hundreds of
millions of orders each year, a scale that is necessary to realize the operational expertise and efficiencies that drive profitability and underpin our attractive financial model. Our scale also allows us to offer our customers the best selection,
quality, value, and convenience, which attracts more customers and drives higher engagement. This results in more orders and increased customer wallet share for our retail partners, driving compelling economics for both retailers and
Instacart. When brands advertise with us, they can reach their target audience more efficiently and at greater scale than is possible through other online channels.",,MEDIUM,unknown,False,,
CART,CART,2023-09-15,cm_purchase_transactions_overall,1.4 billion,count,other,html_table,1.4 billion,,,"For Retailers. We have built one of the largest consumer grocery data sets in the world, which provides
retailers with business insights to which they previously did not have access. We maintain a catalog of over 1.4 billion items, the large majority of which Instacart’s machine learning algorithms predict availability for every two hours,210arming retailers with the data they need to better manage their inventory. Understanding order patterns also enables us to deliver personalized shopping experiences, optimize supply for rapid order
fulfillment, and empower retailers to make better decisions about assortment, inventory, quantity, and replenishment at both a regional and store level.",,LOW,unknown,False,,
CART,CART,2023-09-15,cm_purchase_transactions_overall,"80,000",count,other,text,"80,000","ers each quarter, more than 850 million searches, nearly 100 billion Sponsored Product ads impressions, hundreds of millions of shopper-customer interactions, and facilitate orders fulfilled from over","stores.209 Our technology and data insights drive efficiencies for retailers, customers, brands, and shoppers.",,,LOW,mda,False,,
CART,CART,2023-09-15,cm_revenue_concentration,34%,percent,2020-01-01 to 2020-12-31,html_table,34%,,,"Year Ended December 31, > 2020",Customer B,HIGH,unknown,False,,
CART,CART,2023-09-15,cm_revenue_concentration,23%,percent,2021-01-01 to 2021-12-31,html_table,23%,,,"Year Ended December 31, > 2021",Customer B,HIGH,unknown,False,,
CART,CART,2023-09-15,cm_revenue_concentration,18%,percent,2022-01-01 to 2022-06-30,html_table,18%,,,"Six Months Ended June 30, > 2022 > (unaudited)",Customer B,HIGH,unknown,False,,
CART,CART,2023-09-15,cm_revenue_concentration,18%,percent,2021-01-01 to 2021-12-31,html_table,18%,,,"Year Ended December 31, > 2021",Customer A,HIGH,unknown,False,,
CART,CART,2023-09-15,cm_revenue_concentration,16%,percent,2022-01-01 to 2022-12-31,html_table,16%,,,"Year Ended December 31, > 2022",Customer B,HIGH,unknown,False,,
