company,ticker,date,metric_id,value,unit,period,source_type,raw_text,confidence,section,is_trap
Salesforce,CRM,2024-12-03,cm_arr,,currency,Q3 FY2025,text,"strong performance across revenue, operating margin, cRPO, and cash flow",LOW,prepared_remarks,false
Salesforce,CRM,2024-12-03,cm_net_revenue_retention,,percent,Q3 FY2025,text,"Multi-cloud customers have higher spend, lower attrition rates and drive significant ARR expansion for us each quarter",LOW,prepared_remarks,false
Salesforce,CRM,2024-12-03,cm_revenue_per_customer,67,currency,Q3 2025,text,Our stock has appreciated to approximately $67 per share,LOW,q_and_a,true
Salesforce,CRM,2024-12-03,cm_purchase_transactions_overall,767000000000000,count,Q3 FY2025,text,our customers are now processing 767 trillion records every month,MEDIUM,prepared_remarks,false
Salesforce,CRM,2024-12-03,cm_revenue_per_customer,,currency,Q3 FY2025,text,"Subscription and support revenue grew 9% year-over-year in nominal and constant currency, led by another quarter of double-digit growth in both sales and service, driven by strong ARPU growth",MEDIUM,prepared_remarks,false
Salesforce,CRM,2024-12-03,cm_customers_period_end,135000,count,Q3 FY2025,text,"We have 135,000 customers and those 135,000 customers have now been endowed with Agentforce",HIGH,prepared_remarks,false
Salesforce,CRM,2024-12-03,cm_purchase_transactions_overall,50000000,count,Q3 FY2025,text,Commerce Cloud powered close to 50 million orders on digital storefronts with nearly 100% uptime,HIGH,prepared_remarks,false
Salesforce,CRM,2024-12-03,cm_purchase_transactions_overall,3800000000,count,Q3 FY2025,text,Service Cloud also helped our customers field and resolve 3.8 billion cases,HIGH,prepared_remarks,false
Salesforce,CRM,2024-12-03,cm_customer_churn_rate,8,percent,Q3 FY2025,text,"Q3 revenue attrition ended the quarter slightly above 8%, in line with recent quarters",HIGH,prepared_remarks,false
Salesforce,CRM,2024-12-03,cm_large_customers_period_end,7500,count,Q3 FY2025,text,"We ended the quarter with 7,500 customers generating more than $100,000 in ARR",HIGH,prepared_remarks,false
Salesforce,CRM,2024-12-03,cm_arr,5000000000,currency,Q3 2025,text,Total revenue for the Q3 2025 was $3 billion,HIGH,prepared_remarks,true
