company,ticker,date,metric_id,value,unit,period,source_type,raw_text,context_before,context_after,header_path,stub_path,confidence,section,is_trap,disposition,disposition_reason
TENB,TENB,2018-07-24,cm_customers_period_end,"4,400",count,2016-12-31,text,"4,400","ings. As of December 31, 2016 and 2017, we had over 21,000 and 24,000 customers, respectively, who licensed our Tenable.io, SecurityCenter or Nessus Professional products. This includes over 3,100 and","enterprise platform customers at those respective dates, which we define as a customer that has a current license for Tenable.io or SecurityCenter for an annual amount of $5,000 or greater. Our custom",,,LOW,cover,False,,
TENB,TENB,2018-07-24,cm_customers_period_end,"3,100",count,2016-12-31,text,"3,100","form offerings. As of December 31, 2016 and 2017, we had over 21,000 and 24,000 customers, respectively, who licensed our Tenable.io, SecurityCenter or Nessus Professional products. This includes over","and 4,400 enterprise platform customers at those respective dates, which we define as a customer that has a current license for Tenable.io or SecurityCenter for an annual amount of $5,000 or greater.",,,LOW,cover,False,,
TENB,TENB,2018-07-24,cm_new_customers_acquired,282,other,2017-04-01 to 2017-06-30,text,282,"ize other preliminary business metrics for the periods indicated: New Enterprise Platform Customer Acquisition Three Months Ended June 30, 2017 2018 Number of new enterprise platform customers(1) 217","(1) We define an enterprise platform customer as a customer that has licensed Tenable.io or SecurityCenter for an annual amount of $5,000 or greater. New enterprise platform customers represent new cu",,,LOW,cover,False,,
TENB,TENB,2018-07-24,cm_new_customers_acquired,217,other,2017-04-01 to 2017-06-30,text,217,"ummarize other preliminary business metrics for the periods indicated: New Enterprise Platform Customer Acquisition Three Months Ended June 30, 2017 2018 Number of new enterprise platform customers(1)","282 (1) We define an enterprise platform customer as a customer that has licensed Tenable.io or SecurityCenter for an annual amount of $5,000 or greater. New enterprise platform customers represent ne",,,LOW,cover,False,,
TENB,TENB,2018-07-24,cm_revenue_concentration,45%,percent,2017-01-01 to 2017-03-31,text,45%,"and perpetual licenses sold through channel partners, and the percentage of revenue derived from channel partners may increase in future periods. Ingram Micro, Inc., a distributor, accounted for 42%,",", 41% and 45% of our revenue in 2016, 2017 and the three months ended March 31, 2017 and 2018, respectively, and 51% of our accounts receivable as of each of December 31, 2016 and 2017 and 45% as of M",,,MEDIUM,cover,False,,
TENB,TENB,2018-07-24,cm_revenue_concentration,42%,percent,2017-01-01 to 2017-03-31,text,42%,"tions and perpetual licenses sold through channel partners, and the percentage of revenue derived from channel partners may increase in future periods. Ingram Micro, Inc., a distributor, accounted for",", 45%, 41% and 45% of our revenue in 2016, 2017 and the three months ended March 31, 2017 and 2018, respectively, and 51% of our accounts receivable as of each of December 31, 2016 and 2017 and 45% as",,,MEDIUM,cover,False,,
TENB,TENB,2018-07-24,cm_revenue_concentration,41%,percent,2017-01-01 to 2017-03-31,text,41%,"perpetual licenses sold through channel partners, and the percentage of revenue derived from channel partners may increase in future periods. Ingram Micro, Inc., a distributor, accounted for 42%, 45%,","and 45% of our revenue in 2016, 2017 and the three months ended March 31, 2017 and 2018, respectively, and 51% of our accounts receivable as of each of December 31, 2016 and 2017 and 45% as of March",,,MEDIUM,cover,False,,
TENB,TENB,2018-07-24,cm_revenue_by_cohort,$10.0 million,currency,other,text,$10.0 million,"The increase in revenue of $63.4 million in 2017 was comprised of subscription revenue of $52.5 million, perpetual licenses and maintenance revenue of","and professional services and other revenue of $0.9 million. Revenue from existing customers comprised 68% of the increase in revenue, while the remaining increase was due to revenue from new customer",,,LOW,mda,False,,
TENB,TENB,2018-07-24,cm_revenue_by_cohort,$0.9 million,currency,other,text,$0.9 million,"in revenue of $63.4 million in 2017 was comprised of subscription revenue of $52.5 million, perpetual licenses and maintenance revenue of $10.0 million and professional services and other revenue of",". Revenue from existing customers comprised 68% of the increase in revenue, while the remaining increase was due to revenue from new customers. The increase in professional services revenue resulted f",,,LOW,mda,False,,
TENB,TENB,2018-07-24,cm_revenue_by_cohort,$1.5 million,currency,other,text,$1.5 million,"The increase in revenue of $18.6 million was comprised of increases in subscription revenue of $16.6 million, perpetual licenses and maintenance revenue of","and professional services and other revenue of $0.5 million. Revenue from existing customers comprised 45% of the increase in revenue, while the remaining increase was due to revenue from new customer",,,LOW,mda,False,,
TENB,TENB,2018-07-24,cm_revenue_by_cohort,$0.5 million,currency,other,text,$0.5 million,"revenue of $18.6 million was comprised of increases in subscription revenue of $16.6 million, perpetual licenses and maintenance revenue of $1.5 million and professional services and other revenue of",". Revenue from existing customers comprised 45% of the increase in revenue, while the remaining increase was due to revenue from new customers since April 1, 2017. The increase in professional service",,,LOW,mda,False,,
