company,ticker,date,metric_id,value,unit,period,source_type,raw_text,confidence,section,is_trap,disposition,disposition_reason
Adobe,ADBE,2025-03-12,cm_customer_retention_rate,85,percent,Q1 FY2025,text,Students with access to Express premium grew 85% year-over-year.,MEDIUM,prepared_remarks,false,REJECT,not retention
Adobe,ADBE,2025-03-12,cm_monthly_active_users,35,percent,Q1 FY2025,text,Photoshop GenAI monthly active users at approximately 35%,MEDIUM,prepared_remarks,false,REJECT,"adoption of genAI, not customer count"
Adobe,ADBE,2025-03-12,cm_monthly_active_users,30,percent,Q1 FY2025,text,Lightroom GenAI MAU at 30%,MEDIUM,prepared_remarks,false,REJECT,"genAI adoption among users, not user count"
Adobe,ADBE,2025-03-12,cm_purchase_transactions_overall,20000000000,count,Q1 FY2025,text,Users have generated over 20 billion assets with Firefly.,MEDIUM,prepared_remarks,false,REJECT,"assets generated, not purchase transactions"
Adobe,ADBE,2025-03-12,cm_new_customers_acquired,35,percent,Q1 FY2025,text,"Continued momentum in Creative Web and Mobile offerings with 35% year-over-year, ending paid subscription growth",MEDIUM,prepared_remarks,false,REJECT,
Adobe,ADBE,2025-03-12,cm_monthly_active_users,1400,count,Q1 FY2025,text,"Strong demand for Firefly Services and Custom Models as part of the GenStudio solution with over 1,400 custom models since launch.",MEDIUM,prepared_remarks,false,REJECT,"number of custom models, not customer count"
Adobe,ADBE,2025-03-12,cm_monthly_active_users,90,percent,Q1 FY2025,text,"User engagement has been strong, with over 90% of paid users generating videos.",MEDIUM,prepared_remarks,false,REJECT,"percent of customers generating videos, not mau count"
Adobe,ADBE,2025-03-12,cm_revenue_per_customer,,percent,Q1 FY2025,text,"Digital Experience subscription revenue was $1.30 billion, growing 11% year-over-year",MEDIUM,prepared_remarks,false,REJECT,"total revenue, not revenue per customer"
Adobe,ADBE,2025-03-12,cm_monthly_active_users,2,ratio,Q1 FY2025,text,We saw 2 times quarter-over-quarter usage growth in AI Assistant.,MEDIUM,q_and_a,false,REJECT,"usage growth, not mau count"
Adobe,ADBE,2025-03-12,cm_monthly_active_users,10,ratio,Q1 FY2025,text,We saw a 10 times year-over-year engagement of Express capabilities from Acrobat users.,MEDIUM,q_and_a,false,REJECT,"engagement of capabilities, not mau"
Adobe,ADBE,2025-03-12,cm_purchase_transactions_overall,1000000000,count,Q1 FY2025,text,We are doing more than 1 billion generations now a month,MEDIUM,q_and_a,false,REJECT,"number of ""generations"" per month, not purchase transactions"
Adobe,ADBE,2025-03-12,cm_net_revenue_retention,0.92,percent,Q1 2025,text,Our gross margin improved to 92% this quarter,MEDIUM,prepared_remarks,true,REJECT,"gross margin, not NRR"
Adobe,ADBE,2025-03-12,cm_customers_period_end,2657,count,Q1 2025,text,Our partner ecosystem now includes 2657 certified partners,MEDIUM,q_and_a,true,REJECT,"partners, not customers"
Adobe,ADBE,2025-03-12,cm_arr,17630000000,currency,Q1 FY2025,text,"We exited the quarter with $17.63 billion of Digital Media ARR, growing our ending ARR book of business 12.6% year-over-year.",HIGH,prepared_remarks,false,ACCEPT,
Adobe,ADBE,2025-03-12,cm_arr,1000000000,currency,Q1 FY2025,text,GenStudio solution surpassing $1B in ending ARR book of business.,HIGH,prepared_remarks,false,ACCEPT,
Adobe,ADBE,2025-03-12,cm_expansion_revenue,125000000,currency,Q1 FY2025,text,"Our generative AI innovation is infused across the breadth of our products and its impact is influencing billions of ARR across acquisition, retention and value expansion as customers benefit from these new capabilities. This strength is also reflected in our AI-first standalone and add-on products ",HIGH,prepared_remarks,false,REJECT,Value 125000000 not in raw_text; inferred/fabricated figure
Adobe,ADBE,2025-03-12,cm_monthly_active_users,23,percent,Q1 FY2025,text,Acrobat and Reader monthly active usage growing 23% year-over-year.,HIGH,prepared_remarks,false,ACCEPT,
Adobe,ADBE,2025-03-12,cm_monthly_active_users,50,percent,Q1 FY2025,text,strong adoption of link sharing for richer collaborative experiences have led to approximately 50% year-over-year growth in Acrobat web monthly active usage.,HIGH,prepared_remarks,false,ACCEPT,
Adobe,ADBE,2025-03-12,cm_new_customers_acquired,6000,count,Q1 FY2025,text,"Express onboarded nearly 6,000 new businesses in Q1, representing approximately 50% quarter-over-quarter growth.",HIGH,prepared_remarks,false,ACCEPT,
