company,ticker,date,metric_id,value,unit,period,source_type,raw_text,context_before,context_after,header_path,stub_path,confidence,section,is_trap,disposition,disposition_reason
"Braze, Inc.",BRZE,2021-11-08,cm_monthly_active_users,3.3 billion,count,2021-07-31,text,3.3 billion,"tive users, even though some users may access our customers’ applications and websites using more than one device, and multiple users may gain access using the same device. As of July 31, 2021, we had","monthly active users, up from 2.3 billion in January 2020 and 1.6 billion in January 2019.",,,LOW,cover,False,ACCEPT,
"Braze, Inc.",BRZE,2021-11-08,cm_monthly_active_users,2.3 billion,count,2021-07-31,text,2.3 billion,"ess our customers’ applications and websites using more than one device, and multiple users may gain access using the same device. As of July 31, 2021, we had 3.3 billion monthly active users, up from",in January 2020 and 1.6 billion in January 2019.,,,LOW,cover,False,ACCEPT,
"Braze, Inc.",BRZE,2021-11-08,cm_monthly_active_users,1.6 billion,count,2021-07-31,text,1.6 billion,"and websites using more than one device, and multiple users may gain access using the same device. As of July 31, 2021, we had 3.3 billion monthly active users, up from 2.3 billion in January 2020 and",in January 2019.,,,LOW,cover,False,ACCEPT,
"Braze, Inc.",BRZE,2021-11-08,cm_net_revenue_retention,31,percent,2021-01-01 to 2021-07-31,text,31,"reach and the volume of messages our customers send. We believe our successful land-and-expand strategy is evidenced by our dollar-based net retention rate, which for the trailing 12 months ended July",", 2021, January 31, 2021 and January 31, 2020 was 125%, 123% and 126%, respectively, for all our customers, and 135%, 133% and 127%, respectively, for our customers with annual recurring revenue, or A",,,MEDIUM,cover,False,REJECT,part of a date
"Braze, Inc.",BRZE,2021-11-08,cm_net_revenue_retention,12,percent,2021-01-01 to 2021-07-31,text,12,ive at the point-in-time dollar-based net retention rate. We then calculate the weighted average point-in-time dollar-based net retention rates as of the last day of each month in the current trailing,"-month period to arrive at the dollar-based net retention rate. Our dollar-based net retention rate for the trailing 12 months ended July 31, 2021, January 31, 2021 and January 31, 2020 was 125%, 123%",,,MEDIUM,cover,False,REJECT,part of a time period (trailing 12-month period)
"Braze, Inc.",BRZE,2021-11-08,cm_net_revenue_retention,125%,percent,2021-01-01 to 2021-12-31,html_table,125%,,,"Expand within our existing customer base:We believe we can achieve significant growth by
expanding sales within our existing customer base. We expand the use of our platform by existing customers by, among others, adding new channels and increasing the messaging volume we sell to our customers as their businesses and needs continue to
grow and as they reach additional consumers, which in turn leads to a need for greater messaging capacity. Our successful land-and-expand strategy is evidenced by our dollar-based net retention rate, which for the trailing 12 months ended
July 31, 2021, January 31, 2021 and January 31, 2020 was 125%, 123% and 126%, respectively, for all our customers, and 135%, 133% and 127%, respectively, for our customers with ARR of $500,000 or more.",,MEDIUM,unknown,False,ACCEPT,
"Braze, Inc.",BRZE,2021-11-08,cm_net_revenue_retention,126%,percent,2020-01-01 to 2020-12-31,html_table,126%,,,"Expand within our existing customer base:We believe we can achieve significant growth by
expanding sales within our existing customer base. We expand the use of our platform by existing customers by, among others, adding new channels and increasing the messaging volume we sell to our customers as their businesses and needs continue to
grow and as they reach additional consumers, which in turn leads to a need for greater messaging capacity. Our successful land-and-expand strategy is evidenced by our dollar-based net retention rate, which for the trailing 12 months ended
July 31, 2021, January 31, 2021 and January 31, 2020 was 125%, 123% and 126%, respectively, for all our customers, and 135%, 133% and 127%, respectively, for our customers with ARR of $500,000 or more.",,MEDIUM,unknown,False,ACCEPT,
"Braze, Inc.",BRZE,2021-11-08,cm_arr,"$500,000",currency,2021-01-01 to 2021-07-31,text,"$500,000","January 31, 2021 and January 31, 2020 was 125%, 123% and 126%, respectively, for all our customers, and 135%, 133% and 127%, respectively, for our customers with annual recurring revenue, or ARR, of",or more. See the section titled “Management’s Discussion and Analysis of Financial Condition and Results of Operations — Factors Affecting Our Performance” for additional information regarding our cus,,,MEDIUM,cover,False,REJECT,"this is part of naming large customers (customers with arr greater then $500,000)"
"Braze, Inc.",BRZE,2021-11-08,cm_arr,$1.0 million,currency,2021-07-31,text,$1.0 million,"ly 31, 2021, January 31, 2021 and January 31, 2020, respectively, accounting for approximately 50%, 50% and 41% of our ARR, respectively. Further, as of July 31, 2021, we had 41 customers with ARR of","or more, up from 31 and 18 customers as of January 31, 2021 and 2020, respectively, accounting for approximately 37%, 33% and 25% of our ARR, respectively. As of July 31, 2021, January 31, 2021 and Ja",,,MEDIUM,cover,False,REJECT,definition of large customers
"Braze, Inc.",BRZE,2021-11-08,cm_revenue_by_cohort,$6.4 million,currency,2016-01-01 to 2016-12-31,text,$6.4 million,"initial purchase from us in a given fiscal year. For example, the 2016 cohort includes all customers that had their initial purchase within the fiscal year 2016. This cohort increased their ARR from","as of January 31, 2016 to $20.1 million as of January 31, 2021, representing a multiple of approximately 3.2x since fiscal year 2016.",,,MEDIUM,cover,False,EDIT,This is arr (revenue) from a specific cohort of customers (new customers)
"Braze, Inc.",BRZE,2021-11-08,cm_revenue_by_cohort,$20.1 million,currency,2016-01-01 to 2016-12-31,text,$20.1 million,"scal year. For example, the 2016 cohort includes all customers that had their initial purchase within the fiscal year 2016. This cohort increased their ARR from $6.4 million as of January 31, 2016 to","as of January 31, 2021, representing a multiple of approximately 3.2x since fiscal year 2016.",,,MEDIUM,cover,False,EDIT,
"Braze, Inc.",BRZE,2021-11-08,cm_arr,$100 million,currency,other,html_table,$100 million,,,,2019: > Surpassed $100 million in ARR,LOW,unknown,False,ACCEPT,
"Braze, Inc.",BRZE,2021-11-08,cm_arr,$200 million,currency,other,html_table,$200 million,,,,2021: > Surpassed $200 million in ARR,LOW,unknown,False,ACCEPT,
"Braze, Inc.",BRZE,2021-11-08,cm_new_customers_acquired,31,other,2021-07-31,text,31,We have a highly efficient go-to-market strategy focused on acquiring new customers and expanding use of our products for existing customers. As of July,", 2021, we had 1,119 customers, up from 890 customers as of January 31, 2021 and 728 customers as of January 31, 2020. In addition, 82, 71 and 45 of our customers had annual recurring revenue, or ARR,",,,LOW,cover,False,REJECT,part of a date
"Braze, Inc.",BRZE,2021-11-08,cm_new_customers_acquired,FY 16 3.2x,other,other,chart,Proven Ability to Land and ExpandFY 16 3.2x,performance obligations associated with the underlying subscription contract and premium professional service obligations as they are with respect to our GAAP revenue. This can result in timing differ,,,,LOW,unknown,False,REJECT,
"Braze, Inc.",BRZE,2021-11-08,cm_new_customers_acquired,FY 17 3.0x,other,other,chart,Proven Ability to Land and ExpandFY 17 3.0x,performance obligations associated with the underlying subscription contract and premium professional service obligations as they are with respect to our GAAP revenue. This can result in timing differ,,,,LOW,unknown,False,REJECT,
"Braze, Inc.",BRZE,2021-11-08,cm_new_customers_acquired,FY 18 1.9x,other,other,chart,Proven Ability to Land and ExpandFY 18 1.9x,performance obligations associated with the underlying subscription contract and premium professional service obligations as they are with respect to our GAAP revenue. This can result in timing differ,,,,LOW,unknown,False,REJECT,
"Braze, Inc.",BRZE,2021-11-08,cm_new_customers_acquired,FY 19 1.7x,other,other,chart,Proven Ability to Land and ExpandFY 19 1.7x,performance obligations associated with the underlying subscription contract and premium professional service obligations as they are with respect to our GAAP revenue. This can result in timing differ,,,,LOW,unknown,False,REJECT,
"Braze, Inc.",BRZE,2021-11-08,cm_new_customers_acquired,FY 20 1.3x,other,other,chart,Proven Ability to Land and ExpandFY 20 1.3x,performance obligations associated with the underlying subscription contract and premium professional service obligations as they are with respect to our GAAP revenue. This can result in timing differ,,,,LOW,unknown,False,REJECT,"the value (1.3x) comes from a chart that appears below this text and relates to a different metric. It should be sourced from the chart image rather than as part of the text, I think."
"Braze, Inc.",BRZE,2021-11-08,cm_revenue_by_cohort,54.5%,percent,2020-07-31,text,54.5%,"existing customers as a result of expansion in committed entitlements and features, and an increase in the number of customers from 796 as of July 31, 2020 to 1,119 as of July 31, 2021. Approximately","of the increase in revenue was attributable to the growth from existing customers, and the remaining 45.5% was attributable to new customers. We also expanded our growth internationally, which contri",,,MEDIUM,cover,False,REJECT,"growth, not absolute value"
"Braze, Inc.",BRZE,2021-11-08,cm_revenue_by_cohort,45.5%,percent,2020-07-31,text,45.5%,"number of customers from 796 as of July 31, 2020 to 1,119 as of July 31, 2021. Approximately 54.5% of the increase in revenue was attributable to the growth from existing customers, and the remaining","was attributable to new customers. We also expanded our growth internationally, which contributed to an increase of $14.5 million in revenue.",,,MEDIUM,cover,False,REJECT,
"Braze, Inc.",BRZE,2021-11-08,cm_revenue_by_cohort,55.9%,percent,2020-01-01 to 2020-12-31,text,55.9%,"The increase in revenue of $53.8 million, or",", from fiscal year 2020 to fiscal year 2021 was primarily driven by an increase in revenue from existing customers as a result of channel expansion, enhanced messaging features and adoption of new pro",,,MEDIUM,cover,False,REJECT,growth
"Braze, Inc.",BRZE,2021-11-08,cm_revenue_by_cohort,70%,percent,other,text,70%,"customers as a result of channel expansion, enhanced messaging features and adoption of new product offerings, and an increase in the number of customers from 728 in 2020 to 890 in 2021. Approximately","of the increase in revenue was attributable to the growth from existing customers, and the remaining 30% was attributable to new customers. We also expanded our growth internationally, which contribu",,,LOW,cover,False,REJECT,growth
"Braze, Inc.",BRZE,2021-11-08,cm_revenue_by_cohort,30%,percent,other,text,30%,"ings, and an increase in the number of customers from 728 in 2020 to 890 in 2021. Approximately 70% of the increase in revenue was attributable to the growth from existing customers, and the remaining","was attributable to new customers. We also expanded our growth internationally, which contributed to an increase of $22.1 million in revenue.",,,LOW,cover,False,REJECT,growth
"Braze, Inc.",BRZE,2021-11-08,cm_customers_period_end,5.0 billion,count,other,text,5.0 billion,"party survey of 1,300 marketing executives at companies with minimum annual revenues of $10.0 million conducted in December 2020, and a review of anonymized and aggregated user behavioral data of over","user profiles among 770 of our customers between January 1, 2020 and December 31, 2020.",,,LOW,cover,False,REJECT,"number of user PROFILES, not users"
"Braze, Inc.",BRZE,2021-11-08,cm_customers_period_end,300 million,count,other,text,300 million,The most effective customer engagement strategies use multiple channels. According to a 2017 Braze analysis of over,"user profiles with a first session occurring in July 2017, while email significantly boosts engagement among recipients, when compared to individuals who received no messages, pairing email with other",,,LOW,cover,False,REJECT,"number of profiles analyzed, not customers"
"Braze, Inc.",BRZE,2021-11-08,cm_customers_period_end,770,other,other,text,770,"executives at companies with minimum annual revenues of $10.0 million conducted in December 2020, and a review of anonymized and aggregated user behavioral data of over 5.0 billion user profiles among","of our customers between January 1, 2020 and December 31, 2020.",,,LOW,cover,False,REJECT,describes survey participants
"Braze, Inc.",BRZE,2021-11-08,cm_revenue_concentration,10%,percent,2020-01-31,text,10%,"tracts with customers. We maintain reserves for potential credit losses on customer accounts when deemed necessary. As of January 31, 2020 and 2021, accounts receivable from one customer accounted for","and 11%, respectively, of our total accounts receivable balance.",,,MEDIUM,cover,False,REJECT,"accounts receivable, not revenue"
"Braze, Inc.",BRZE,2021-11-08,cm_revenue_concentration,11%,percent,2020-01-31,text,11%,"ith customers. We maintain reserves for potential credit losses on customer accounts when deemed necessary. As of January 31, 2020 and 2021, accounts receivable from one customer accounted for 10% and",", respectively, of our total accounts receivable balance.",,,MEDIUM,cover,False,REJECT,"accounts receivable, not revenue"
"Braze, Inc.",BRZE,2021-11-08,cm_revenue_concentration,11%,percent,2021-01-31,text,11%,"venue contracts with customers. We maintain reserves for potential credit losses on customer accounts when deemed necessary. As of January 31, 2021, accounts receivable from one customer accounted for","of our total accounts receivable balance. As of July 31, 2021, no customer accounted for more than 10% of our total accounts receivable balance.",,,MEDIUM,cover,False,REJECT,accounts receivable
