company,ticker,date,metric_id,value,unit,period,source_type,raw_text,confidence,section,is_trap
PayPal,PYPL,2025-04-29,cm_revenue_per_customer,,percent,Q1 2025,text,users who adopted the PayPal debit card transacted nearly six times more and generated more than two times the average revenue per account compared to those who used online branded checkout only,MEDIUM,prepared_remarks,false
PayPal,PYPL,2025-04-29,cm_new_customers_acquired,4000000,count,Q1 2025,text,"4 million new debit card active, so really starting to see strong demand from our consumer base",MEDIUM,q_and_a,false
PayPal,PYPL,2025-04-29,cm_monthly_active_users,,percent,Q1 2025,text,BNPL monthly active accounts grew 18% year-over-year,MEDIUM,prepared_remarks,false
PayPal,PYPL,2025-04-29,cm_net_revenue_retention,0.92,percent,Q1 2025,text,Our gross margin improved to 92% this quarter,MEDIUM,prepared_remarks,true
PayPal,PYPL,2025-04-29,cm_new_customers_acquired,53733,count,Q1 2025,text,We ended Q1 2025 with 53733 employees globally,MEDIUM,prepared_remarks,true
PayPal,PYPL,2025-04-29,cm_active_customers_total,436000000,count,Q1 2025,text,"total active accounts increased by about 1.5 million from the fourth quarter and over 8 million versus the prior year's first quarter, to 436 million",HIGH,prepared_remarks,false
PayPal,PYPL,2025-04-29,cm_active_customers_total,224000000,count,Q1 2025,text,"Monthly active accounts continue to show steady progress, up 2% year-over-year to 224 million",HIGH,prepared_remarks,false
PayPal,PYPL,2025-04-29,cm_purchase_transactions_overall,417000000000,currency,Q1 2025,text,total payment volume grew 3% at spot and 4% on a currency-neutral basis to $417 billion,HIGH,prepared_remarks,false
PayPal,PYPL,2025-04-29,cm_new_customers_acquired,2000000,count,Q1 2025,text,"approximately 2 million first-time PayPal and Venmo debit card users in the quarter, an increase of nearly 90% from last year",HIGH,prepared_remarks,false
PayPal,PYPL,2025-04-29,cm_revenue_concentration,2,percent,Q1 2025,text,our Chinese merchants selling into the U.S. is less than 2% of our branded checkout TPV,HIGH,q_and_a,false
