company,ticker,date,metric_id,value,unit,period,source_type,raw_text,confidence,section,is_trap,disposition,disposition_reason
Microsoft,MSFT,2025-01-29,cm_revenue_per_customer,338,currency,Q2 2025,text,Our stock has appreciated to approximately $338 per share,LOW,q_and_a,TRUE,REJECT,"price per share, not revenue"
Microsoft,MSFT,2025-01-29,cm_purchase_transactions_overall,140000000,count,Q2 FY2025,text,We also continue to see strong momentum for Xbox Cloud Gaming with a record 140 million hours streamed this quarter.,MEDIUM,prepared_remarks,FALSE,REJECT,"hours streamed (a usage measure), not purchase transactions"
Microsoft,MSFT,2025-01-29,cm_daily_active_users,4000000,count,Q2 FY2025,text,Indiana Jones and the Great Circle which has already been played by more than 4 million people.,MEDIUM,prepared_remarks,FALSE,REJECT,"cumulative count of people who have ever played a game, not DAU"
Microsoft,MSFT,2025-01-29,cm_monthly_active_users,30000000,count,Q2 FY2025,text,"Power BI is also deeply integrated with Fabric with over 30 million monthly active users, up 40% since last year.",HIGH,prepared_remarks,FALSE,ACCEPT,
Microsoft,MSFT,2025-01-29,cm_customers_period_end,19000,count,Q2 FY2025,text,"We now have over 19,000 paid customers from Hitachi to Johnson Controls to Schaeffler.",HIGH,prepared_remarks,FALSE,ACCEPT,
Microsoft,MSFT,2025-01-29,cm_monthly_active_users,200000,count,Q2 FY2025,text,"Two months in, we already have more than 200,000 monthly active users and we are well positioned with our support of both OpenAI's leading models and the best selection of Open Source models and SLMs.",HIGH,prepared_remarks,FALSE,ACCEPT,
Microsoft,MSFT,2025-01-29,cm_monthly_active_users,150000000,count,Q2 FY2025,text,All up GitHub now is home to 150 million developers up 50% over the past two years.,HIGH,prepared_remarks,FALSE,REJECT,"total users, not active"
Microsoft,MSFT,2025-01-29,cm_monthly_active_users,2000000,count,Q2 FY2025,text,"In Healthcare, DAX Copilot surpassed 2 million monthly physician patient encounters up 54% quarter-over-quarter.",HIGH,prepared_remarks,FALSE,REJECT,"number of ""encounters"" not purchase transactions"
Microsoft,MSFT,2025-01-29,cm_arr,2000000000,currency,Q2 FY2025,text,"In subscriptions, LinkedIn premiums surpassed $2 billion in annual revenue for the first time this quarter.",HIGH,prepared_remarks,FALSE,ACCEPT,
Microsoft,MSFT,2025-01-29,cm_customers_period_end,86300000,count,Q2 FY2025,text,We saw continued momentum in M365 consumer subscriptions which grew 10% to 86.3 million with mix shift to M365 Basic.,HIGH,prepared_remarks,FALSE,ACCEPT,
Microsoft,MSFT,2025-01-29,cm_arr,2000000000,currency,Q2 2025,text,Total revenue for the Q2 2025 was $4 billion,HIGH,prepared_remarks,TRUE,REJECT,"revenue, not arr"
