company,ticker,date,metric_id,value,unit,period,source_type,raw_text,context_before,context_after,header_path,stub_path,confidence,section,is_trap,disposition,disposition_reason
DDOG,DDOG,2019-09-17,cm_customers_period_end,31,other,2018-12-31,text,31,A component of our growth strategy involves the further expansion of our operations and customer base internationally. Customers outside North America generated 24% of ARR as of December,", 2018. Beyond North America, we now have sales presence internationally, including in Dublin, Paris, London, Singapore, Tokyo, Seoul and Sydney. We are continuing to adapt to and develop strategies t",,,LOW,cover,False,,
DDOG,DDOG,2019-09-17,cm_customers_period_end,30,other,2018-06-30,text,30,ith our customers as they expand their workloads in the public and private cloud. Our ability to expand within our customer base is best demonstrated by our dollar-based net retention rate. As of June,", 2018 and 2019, our dollar-based net retention rate was 146%, and as of December 31, 2017 and 2018, it was 141% and 151%, respectively. See “Management’s Discussion and Analysis of Financial Conditio",,,LOW,cover,False,,
DDOG,DDOG,2019-09-17,cm_net_revenue_retention,151%,percent,2018-06-30,text,151%,"omer base is best demonstrated by our dollar-based net retention rate. As of June 30, 2018 and 2019, our dollar-based net retention rate was 146%, and as of December 31, 2017 and 2018, it was 141% and",", respectively. See “Management’s Discussion and Analysis of Financial Condition and Results of Operations—Factors Affecting Our Performance” for additional information regarding our dollar-based net",,,MEDIUM,cover,False,,
DDOG,DDOG,2019-09-17,cm_net_revenue_retention,146%,percent,2018-06-30,text,146%,"lic and private cloud. Our ability to expand within our customer base is best demonstrated by our dollar-based net retention rate. As of June 30, 2018 and 2019, our dollar-based net retention rate was",", and as of December 31, 2017 and 2018, it was 141% and 151%, respectively. See “Management’s Discussion and Analysis of Financial Condition and Results of Operations—Factors Affecting Our Performance",,,MEDIUM,cover,False,,
DDOG,DDOG,2019-09-17,cm_net_revenue_retention,141%,percent,2018-06-30,text,141%,"our customer base is best demonstrated by our dollar-based net retention rate. As of June 30, 2018 and 2019, our dollar-based net retention rate was 146%, and as of December 31, 2017 and 2018, it was","and 151%, respectively. See “Management’s Discussion and Analysis of Financial Condition and Results of Operations—Factors Affecting Our Performance” for additional information regarding our dollar-b",,,MEDIUM,cover,False,,
DDOG,DDOG,2019-09-17,cm_revenue_concentration,24%,percent,2018-12-31,text,24%,"s international markets have increased the shift of their IT spend to the cloud. We have made significant investments in expanding our presence in EMEA and APAC. As of December 31, 2018, approximately",of our ARR came from customers outside of North America. We intend to add international sales team members to take advantage of this market opportunity while refining our go-to-market approach based,,,MEDIUM,cover,False,,
DDOG,DDOG,2019-09-17,cm_revenue_concentration,5%,percent,2019-06-30,text,5%,"two customers as of December 31, 2018, 2017 and 2016, respectively. As of June 30, 2019, our 10 largest customers represented approximately 14% of our ARR and no single customer represented more than",of our ARR. See “Management’s Discussion and Analysis of Financial Condition and Results of Operations—Factors Affecting Our Performance” for additional information regarding ARR.,,,MEDIUM,cover,False,,
DDOG,DDOG,2019-09-17,cm_revenue_concentration,14%,percent,2019-06-30,text,14%,"stomers with ARR of $1.0 million or more, up from 29, 12 and two customers as of December 31, 2018, 2017 and 2016, respectively. As of June 30, 2019, our 10 largest customers represented approximately",of our ARR and no single customer represented more than 5% of our ARR. See “Management’s Discussion and Analysis of Financial Condition and Results of Operations—Factors Affecting Our Performance” fo,,,MEDIUM,cover,False,,
DDOG,DDOG,2019-09-17,cm_customer_retention_rate,90%,percent,other,text,90%,"r-based net retention rates, to arrive at the dollar-based net retention rate. Furthermore, our dollar-based gross retention rate, based on a cohort of all of our customers, has been in the low-to-mid","range as of the end of each of our last eight quarters. We believe this demonstrates the stickiness of the product category we operate in, and of our platform in particular. We calculate our dollar-b",,,LOW,cover,False,,
DDOG,DDOG,2019-09-17,cm_gross_revenue_retention,90%,percent,other,text,90%,"r-based net retention rates, to arrive at the dollar-based net retention rate. Furthermore, our dollar-based gross retention rate, based on a cohort of all of our customers, has been in the low-to-mid","range as of the end of each of our last eight quarters. We believe this demonstrates the stickiness of the product category we operate in, and of our platform in particular. We calculate our dollar-b",,,LOW,cover,False,,
