company,ticker,date,metric_id,value,unit,period,source_type,raw_text,confidence,section,is_trap
Microsoft,MSFT,2025-04-30,cm_revenue_per_customer,,percent,Q3 FY2025,text,ARPU growth was again driven by E5 and M365 Copilot.,MEDIUM,prepared_remarks,false
Microsoft,MSFT,2025-04-30,cm_purchase_transactions_overall,100000000000000,count,Q3 FY2025,text,"We processed over 100 trillion tokens this quarter, up 5X year-over-year",MEDIUM,prepared_remarks,false
Microsoft,MSFT,2025-04-30,cm_customers_period_end,9500000,count,Q3 FY2025,text,"Last quarter alone, we helped document nearly 9.5 million physician-patient encounters at providers like City of Hope, Ottawa Hospital, Tufts Medicine and WellStar, up over 50% quarter-over-quarter.",MEDIUM,prepared_remarks,false
Microsoft,MSFT,2025-04-30,cm_customers_period_end,150000000,count,Q3 FY2025,text,"Cloud gaming set a new record, surpassing 150 million hours played for the first time this quarter.",MEDIUM,prepared_remarks,false
Microsoft,MSFT,2025-04-30,cm_net_revenue_retention,0.92,percent,Q3 2025,text,Our gross margin improved to 92% this quarter,MEDIUM,prepared_remarks,true
Microsoft,MSFT,2025-04-30,cm_daily_active_users,320000000,count,Q3 FY2025,text,Teams daily active users reached 320 million,HIGH,prepared_remarks,false
Microsoft,MSFT,2025-04-30,cm_monthly_active_users,50000000,count,Q3 FY2025,text,"With Visual Studio and VS Code, we have the world's most popular editor, with over 50 million monthly active users.",HIGH,prepared_remarks,false
Microsoft,MSFT,2025-04-30,cm_monthly_active_users,56000000,count,Q3 FY2025,text,"We now have 56 million monthly active Power Platform users, up 27% year-over-year",HIGH,prepared_remarks,false
Microsoft,MSFT,2025-04-30,cm_monthly_active_users,900000000,count,Q3 FY2025,text,"in identity, Entra now has more than 900 million monthly active users.",HIGH,prepared_remarks,false
Microsoft,MSFT,2025-04-30,cm_monthly_active_users,500000000,count,Q3 FY2025,text,we bring our games to over 500 million monthly active users across devices.,HIGH,prepared_remarks,false
Microsoft,MSFT,2025-04-30,cm_customers_period_end,21000,count,Q3 FY2025,text,"Microsoft Fabric has more than 21,000 paid customers, up 80% year-over-year.",HIGH,prepared_remarks,false
Microsoft,MSFT,2025-04-30,cm_customers_period_end,70000,count,Q3 FY2025,text,"Foundry is the agent and AI app factory. It is now used by developers at over 70,000 enterprises and digital natives",HIGH,prepared_remarks,false
Microsoft,MSFT,2025-04-30,cm_customers_period_end,15000000,count,Q3 FY2025,text,"All-up, we now have over 15 million GitHub Copilot users, up over 4X year-over-year.",HIGH,prepared_remarks,false
Microsoft,MSFT,2025-04-30,cm_customers_period_end,1400000,count,Q3 FY2025,text,"All up, we now have 1.4 million security customers.",HIGH,prepared_remarks,false
Microsoft,MSFT,2025-04-30,cm_large_customers_period_end,900000,count,Q3 FY2025,text,"Over 900,000 – including EY Global, Manpower Group, TriNet, Regions Bank – have 4 or more workloads, up 21% year-over-year.",HIGH,prepared_remarks,false
Microsoft,MSFT,2025-04-30,cm_customers_period_end,230000,count,Q3 FY2025,text,"More than 230,000 organizations – including 90% of the Fortune 500 – have already used Copilot Studio.",HIGH,prepared_remarks,false
Microsoft,MSFT,2025-04-30,cm_customers_period_end,430000000,count,Q3 FY2025,text,Paid M365 commercial seats grew 7% year over year to over 430 million.,HIGH,prepared_remarks,false
Microsoft,MSFT,2025-04-30,cm_customers_period_end,87700000,count,Q3 FY2025,text,M365 consumer subscriptions grew 9% to 87.7 million.,HIGH,prepared_remarks,false
Microsoft,MSFT,2025-04-30,cm_customers_period_end,1000000,count,Q3 FY2025,text,"This quarter alone, customers created over 1 million custom agents across SharePoint and Copilot Studio, up 130% quarter-over-quarter.",HIGH,prepared_remarks,false
Microsoft,MSFT,2025-04-30,cm_arr,9000000000,currency,Q3 2025,text,Total revenue for the Q3 2025 was $6 billion,HIGH,prepared_remarks,true
