company,ticker,date,metric_id,value,unit,period,source_type,raw_text,context_before,context_after,header_path,stub_path,confidence,section,is_trap,disposition,disposition_reason
BRZE,BRZE,2021-11-08,cm_monthly_active_users,3.3 billion,count,2021-07-31,text,3.3 billion,"tive users, even though some users may access our customers’ applications and websites using more than one device, and multiple users may gain access using the same device. As of July 31, 2021, we had","monthly active users, up from 2.3 billion in January 2020 and 1.6 billion in January 2019.",,,LOW,cover,False,,
BRZE,BRZE,2021-11-08,cm_monthly_active_users,2.3 billion,count,2021-07-31,text,2.3 billion,"ess our customers’ applications and websites using more than one device, and multiple users may gain access using the same device. As of July 31, 2021, we had 3.3 billion monthly active users, up from",in January 2020 and 1.6 billion in January 2019.,,,LOW,cover,False,,
BRZE,BRZE,2021-11-08,cm_monthly_active_users,1.6 billion,count,2021-07-31,text,1.6 billion,"and websites using more than one device, and multiple users may gain access using the same device. As of July 31, 2021, we had 3.3 billion monthly active users, up from 2.3 billion in January 2020 and",in January 2019.,,,LOW,cover,False,,
BRZE,BRZE,2021-11-08,cm_net_revenue_retention,126%,percent,2020-01-01 to 2020-12-31,html_table,126%,,,"Expand within our existing customer base:We believe we can achieve significant growth by
expanding sales within our existing customer base. We expand the use of our platform by existing customers by, among others, adding new channels and increasing the messaging volume we sell to our customers as their businesses and needs continue to
grow and as they reach additional consumers, which in turn leads to a need for greater messaging capacity. Our successful land-and-expand strategy is evidenced by our dollar-based net retention rate, which for the trailing 12 months ended
July 31, 2021, January 31, 2021 and January 31, 2020 was 125%, 123% and 126%, respectively, for all our customers, and 135%, 133% and 127%, respectively, for our customers with ARR of $500,000 or more.",,MEDIUM,unknown,False,,
BRZE,BRZE,2021-11-08,cm_net_revenue_retention,125%,percent,2021-01-01 to 2021-12-31,html_table,125%,,,"Expand within our existing customer base:We believe we can achieve significant growth by
expanding sales within our existing customer base. We expand the use of our platform by existing customers by, among others, adding new channels and increasing the messaging volume we sell to our customers as their businesses and needs continue to
grow and as they reach additional consumers, which in turn leads to a need for greater messaging capacity. Our successful land-and-expand strategy is evidenced by our dollar-based net retention rate, which for the trailing 12 months ended
July 31, 2021, January 31, 2021 and January 31, 2020 was 125%, 123% and 126%, respectively, for all our customers, and 135%, 133% and 127%, respectively, for our customers with ARR of $500,000 or more.",,MEDIUM,unknown,False,,
BRZE,BRZE,2021-11-08,cm_net_revenue_retention,31,percent,2021-01-01 to 2021-07-31,text,31,"reach and the volume of messages our customers send. We believe our successful land-and-expand strategy is evidenced by our dollar-based net retention rate, which for the trailing 12 months ended July",", 2021, January 31, 2021 and January 31, 2020 was 125%, 123% and 126%, respectively, for all our customers, and 135%, 133% and 127%, respectively, for our customers with annual recurring revenue, or A",,,MEDIUM,cover,False,,
BRZE,BRZE,2021-11-08,cm_new_customers_acquired,31,other,2021-07-31,text,31,We have a highly efficient go-to-market strategy focused on acquiring new customers and expanding use of our products for existing customers. As of July,", 2021, we had 1,119 customers, up from 890 customers as of January 31, 2021 and 728 customers as of January 31, 2020. In addition, 82, 71 and 45 of our customers had annual recurring revenue, or ARR,",,,LOW,cover,False,,
BRZE,BRZE,2021-11-08,cm_revenue_by_cohort,55.9%,percent,2020-01-01 to 2020-12-31,text,55.9%,"The increase in revenue of $53.8 million, or",", from fiscal year 2020 to fiscal year 2021 was primarily driven by an increase in revenue from existing customers as a result of channel expansion, enhanced messaging features and adoption of new pro",,,MEDIUM,cover,False,,
BRZE,BRZE,2021-11-08,cm_revenue_by_cohort,54.5%,percent,2020-07-31,text,54.5%,"existing customers as a result of expansion in committed entitlements and features, and an increase in the number of customers from 796 as of July 31, 2020 to 1,119 as of July 31, 2021. Approximately","of the increase in revenue was attributable to the growth from existing customers, and the remaining 45.5% was attributable to new customers. We also expanded our growth internationally, which contri",,,MEDIUM,cover,False,,
BRZE,BRZE,2021-11-08,cm_revenue_by_cohort,45.5%,percent,2020-07-31,text,45.5%,"number of customers from 796 as of July 31, 2020 to 1,119 as of July 31, 2021. Approximately 54.5% of the increase in revenue was attributable to the growth from existing customers, and the remaining","was attributable to new customers. We also expanded our growth internationally, which contributed to an increase of $14.5 million in revenue.",,,MEDIUM,cover,False,,
