review_status,notes,metric_definition_id,metric_id,metric_name,definition_normalized,methodology_normalized,section_heading,source_text_preview
,,586,cm_active_customers_total,Active Customers (Total),"Table of Contents The information in this prospectus is not complete and may be changed. We may not sell these securities until the registration statement filed with the Securities and Exchange Commission is effective. The prospectus is not an offer to sell these securities nor a solicitation of an offer to buy these securities in any jurisdiction where the offer and sale is not permitted. Subject to Completion Preliminary Prospectus dated , 2021 PROSPECTUS Shares Torrid Holdings Inc. Common Sto...","Table of Contents The information in this prospectus is not complete and may be changed. We may not sell these securities until the registration statement filed with the Securities and Exchange Commission is effective. The prospectus is not an offer to sell these securities nor a solicitation of an offer to buy these securities in any jurisdiction where the offer and sale is not permitted. Subject to Completion Preliminary Prospectus dated , 2021 PROSPECTUS Shares Torrid Holdings Inc. Common Sto...",,"Table of Contents The information in this prospectus is not complete and may be changed. We may not sell these securities until the registration statement filed with the Securities and Exchange Commission is effective. The prospectus is not an offer to sell these securities nor a solicitation of an offer to buy these securities in any jurisdiction where the offer and sale is not permitted. Subject to Completion Preliminary Prospectus dated , 2021 PROSPECTUS Shares Torrid Holdings Inc. Common Sto"
,,589,cm_cac_payback_period,CAC Payback Period,"Table of Contents payback period of less than two years. The integration of e-Commerce and stores is fundamental to our customer-centric strategy as those two channels complement and drive traffic to one another. We have a history of converting single-channel customers into highly valuable omni-channel customers. In 2020, on average, omni-channel customers made 7.8 purchases and spent approximately 3.2 times more than single-channel customers. Our consistent product fit and the unified experienc...","Table of Contents payback period of less than two years. The integration of e-Commerce and stores is fundamental to our customer-centric strategy as those two channels complement and drive traffic to one another. We have a history of converting single-channel customers into highly valuable omni-channel customers. In 2020, on average, omni-channel customers made 7.8 purchases and spent approximately 3.2 times more than single-channel customers. Our consistent product fit and the unified experienc...",,"Table of Contents payback period of less than two years. The integration of e-Commerce and stores is fundamental to our customer-centric strategy as those two channels complement and drive traffic to one another. We have a history of converting single-channel customers into highly valuable omni-channel customers. In 2020, on average, omni-channel customers made 7.8 purchases and spent approximately 3.2 times more than single-channel customers. Our consistent product fit and the unified experienc"
,,587,cm_customer_acquisition_cost,Customer Acquisition Cost,"Table of Contents The information in this prospectus is not complete and may be changed. We may not sell these securities until the registration statement filed with the Securities and Exchange Commission is effective. The prospectus is not an offer to sell these securities nor a solicitation of an offer to buy these securities in any jurisdiction where the offer and sale is not permitted. Subject to Completion Preliminary Prospectus dated , 2021 PROSPECTUS Shares Torrid Holdings Inc. Common Sto...","Table of Contents The information in this prospectus is not complete and may be changed. We may not sell these securities until the registration statement filed with the Securities and Exchange Commission is effective. The prospectus is not an offer to sell these securities nor a solicitation of an offer to buy these securities in any jurisdiction where the offer and sale is not permitted. Subject to Completion Preliminary Prospectus dated , 2021 PROSPECTUS Shares Torrid Holdings Inc. Common Sto...",,"Table of Contents The information in this prospectus is not complete and may be changed. We may not sell these securities until the registration statement filed with the Securities and Exchange Commission is effective. The prospectus is not an offer to sell these securities nor a solicitation of an offer to buy these securities in any jurisdiction where the offer and sale is not permitted. Subject to Completion Preliminary Prospectus dated , 2021 PROSPECTUS Shares Torrid Holdings Inc. Common Sto"
,,593,cm_customer_retention_rate,Customer Retention Rate,"Table of Contents Adjusted EBITDA has limitations as an analytical tool and should not be considered either in isolation or as a substitute for net income or other data prepared in accordance with GAAP. Among other limitations, Adjusted EBITDA does not reflect: • interest expense; • interest income, net of other (income) expense; • provision for income taxes; • depreciation and amortization; • share-based compensation; • non-cash deductions and charges; • other expenses; and • duplicative Ohio d...",,,"Table of Contents Adjusted EBITDA has limitations as an analytical tool and should not be considered either in isolation or as a substitute for net income or other data prepared in accordance with GAAP. Among other limitations, Adjusted EBITDA does not reflect: • interest expense; • interest income, net of other (income) expense; • provision for income taxes; • depreciation and amortization; • share-based compensation; • non-cash deductions and charges; • other expenses; and • duplicative Ohio d"
,,592,cm_expansion_revenue,Expansion Revenue,"Table of Contents • Differentiated technical fit created through building and continuously refining a database of fit specifications derived from testing, measuring and cataloging approximately garments annually on our fit models; • Proprietary fabrics specifically engineered to enhance the fit for the plus-size woman; • Fit all of our products on full-time fit models and our staff, not mannequins; and • We test new fabrics, new silhouettes and new product lines on our community of loyal custome...","Table of Contents • Differentiated technical fit created through building and continuously refining a database of fit specifications derived from testing, measuring and cataloging approximately garments annually on our fit models; • Proprietary fabrics specifically engineered to enhance the fit for the plus-size woman; • Fit all of our products on full-time fit models and our staff, not mannequins; and • We test new fabrics, new silhouettes and new product lines on our community of loyal custome...",,"Table of Contents • Differentiated technical fit created through building and continuously refining a database of fit specifications derived from testing, measuring and cataloging approximately garments annually on our fit models; • Proprietary fabrics specifically engineered to enhance the fit for the plus-size woman; • Fit all of our products on full-time fit models and our staff, not mannequins; and • We test new fabrics, new silhouettes and new product lines on our community of loyal custome"
,,590,cm_gross_margin_by_cohort,Gross Margin By Cohort,"Table of Contents payback period of less than two years. The integration of e-Commerce and stores is fundamental to our customer-centric strategy as those two channels complement and drive traffic to one another. We have a history of converting single-channel customers into highly valuable omni-channel customers. In 2020, on average, omni-channel customers made 7.8 purchases and spent approximately 3.2 times more than single-channel customers. Our consistent product fit and the unified experienc...","Table of Contents payback period of less than two years. The integration of e-Commerce and stores is fundamental to our customer-centric strategy as those two channels complement and drive traffic to one another. We have a history of converting single-channel customers into highly valuable omni-channel customers. In 2020, on average, omni-channel customers made 7.8 purchases and spent approximately 3.2 times more than single-channel customers. Our consistent product fit and the unified experienc...",,"Table of Contents payback period of less than two years. The integration of e-Commerce and stores is fundamental to our customer-centric strategy as those two channels complement and drive traffic to one another. We have a history of converting single-channel customers into highly valuable omni-channel customers. In 2020, on average, omni-channel customers made 7.8 purchases and spent approximately 3.2 times more than single-channel customers. Our consistent product fit and the unified experienc"
,,588,cm_lifetime_value_per_customer,Customer Lifetime Value,"Table of Contents The information in this prospectus is not complete and may be changed. We may not sell these securities until the registration statement filed with the Securities and Exchange Commission is effective. The prospectus is not an offer to sell these securities nor a solicitation of an offer to buy these securities in any jurisdiction where the offer and sale is not permitted. Subject to Completion Preliminary Prospectus dated , 2021 PROSPECTUS Shares Torrid Holdings Inc. Common Sto...","Table of Contents The information in this prospectus is not complete and may be changed. We may not sell these securities until the registration statement filed with the Securities and Exchange Commission is effective. The prospectus is not an offer to sell these securities nor a solicitation of an offer to buy these securities in any jurisdiction where the offer and sale is not permitted. Subject to Completion Preliminary Prospectus dated , 2021 PROSPECTUS Shares Torrid Holdings Inc. Common Sto...",,"Table of Contents The information in this prospectus is not complete and may be changed. We may not sell these securities until the registration statement filed with the Securities and Exchange Commission is effective. The prospectus is not an offer to sell these securities nor a solicitation of an offer to buy these securities in any jurisdiction where the offer and sale is not permitted. Subject to Completion Preliminary Prospectus dated , 2021 PROSPECTUS Shares Torrid Holdings Inc. Common Sto"
,,591,cm_ltv_to_cac_ratio,LTV to CAC Ratio,"Table of Contents payback period of less than two years. The integration of e-Commerce and stores is fundamental to our customer-centric strategy as those two channels complement and drive traffic to one another. We have a history of converting single-channel customers into highly valuable omni-channel customers. In 2020, on average, omni-channel customers made 7.8 purchases and spent approximately 3.2 times more than single-channel customers. Our consistent product fit and the unified experienc...","Table of Contents payback period of less than two years. The integration of e-Commerce and stores is fundamental to our customer-centric strategy as those two channels complement and drive traffic to one another. We have a history of converting single-channel customers into highly valuable omni-channel customers. In 2020, on average, omni-channel customers made 7.8 purchases and spent approximately 3.2 times more than single-channel customers. Our consistent product fit and the unified experienc...",,"Table of Contents payback period of less than two years. The integration of e-Commerce and stores is fundamental to our customer-centric strategy as those two channels complement and drive traffic to one another. We have a history of converting single-channel customers into highly valuable omni-channel customers. In 2020, on average, omni-channel customers made 7.8 purchases and spent approximately 3.2 times more than single-channel customers. Our consistent product fit and the unified experienc"
,,584,cm_new_customers_acquired,New Customers Acquired,"Table of Contents The information in this prospectus is not complete and may be changed. We may not sell these securities until the registration statement filed with the Securities and Exchange Commission is effective. The prospectus is not an offer to sell these securities nor a solicitation of an offer to buy these securities in any jurisdiction where the offer and sale is not permitted. Subject to Completion Preliminary Prospectus dated , 2021 PROSPECTUS Shares Torrid Holdings Inc. Common Sto...","Table of Contents The information in this prospectus is not complete and may be changed. We may not sell these securities until the registration statement filed with the Securities and Exchange Commission is effective. The prospectus is not an offer to sell these securities nor a solicitation of an offer to buy these securities in any jurisdiction where the offer and sale is not permitted. Subject to Completion Preliminary Prospectus dated , 2021 PROSPECTUS Shares Torrid Holdings Inc. Common Sto...",,"Table of Contents The information in this prospectus is not complete and may be changed. We may not sell these securities until the registration statement filed with the Securities and Exchange Commission is effective. The prospectus is not an offer to sell these securities nor a solicitation of an offer to buy these securities in any jurisdiction where the offer and sale is not permitted. Subject to Completion Preliminary Prospectus dated , 2021 PROSPECTUS Shares Torrid Holdings Inc. Common Sto"
,,594,cm_revenue_by_cohort,Revenue by Customer Cohort,"Table of Contents Our annual CAC increased from $32 in 2015 to $49 in 2019 as we increased our marketing investments, particularly in performance marketing as we continue to focus on driving higher brand awareness and conversion. Going forward, we expect CAC to fluctuate as we tailor and adjust our marketing strategy based on internal return on advertising spend targets. For example, as a result of consumer behavior changes related to the ongoing COVID-19 pandemic, our CAC declined 7% from $49 i...",,,"Table of Contents Our annual CAC increased from $32 in 2015 to $49 in 2019 as we increased our marketing investments, particularly in performance marketing as we continue to focus on driving higher brand awareness and conversion. Going forward, we expect CAC to fluctuate as we tailor and adjust our marketing strategy based on internal return on advertising spend targets. For example, as a result of consumer behavior changes related to the ongoing COVID-19 pandemic, our CAC declined 7% from $49 i"
