review_status,notes,metric_definition_id,metric_id,metric_name,definition_normalized,methodology_normalized,section_heading,source_text_preview
,,511,cm_active_customers_total,Active Customers (Total),"Table of Contents Index to Financial Statements data and connect it to the cloud. For the physical assets that are increasingly embedded with cloud connectivity, we partner with OEMs to capture data via APIs. Data may also be captured from customer enterprise applications or local software systems. This operational and IT data is ingested into our Data Platform, where it is aggregated, enriched, and analyzed using embedded functionality for AI, workflows and analytics, alerts, API connections, a...","Table of Contents Index to Financial Statements data and connect it to the cloud. For the physical assets that are increasingly embedded with cloud connectivity, we partner with OEMs to capture data via APIs. Data may also be captured from customer enterprise applications or local software systems. This operational and IT data is ingested into our Data Platform, where it is aggregated, enriched, and analyzed using embedded functionality for AI, workflows and analytics, alerts, API connections, a...",Index to Financial Statements,"Table of Contents Index to Financial Statements data and connect it to the cloud. For the physical assets that are increasingly embedded with cloud connectivity, we partner with OEMs to capture data via APIs. Data may also be captured from customer enterprise applications or local software systems. This operational and IT data is ingested into our Data Platform, where it is aggregated, enriched, and analyzed using embedded functionality for AI, workflows and analytics, alerts, API connections, a"
,,518,cm_customer_acquisition_cost,Customer Acquisition Cost,"Table of Contents Index to Financial Statements The information in this preliminary prospectus is not complete and may be changed. These securities may not be sold until the registration statement filed with the Securities and Exchange Commission is effective. This preliminary prospectus is not an offer to sell nor does it seek an offer to buy these securities in any jurisdiction where the offer or sale is not permitted. PROSPECTUS (Subject to Completion) Issued , 2021 Class A Common Stock Share...","Table of Contents Index to Financial Statements The information in this preliminary prospectus is not complete and may be changed. These securities may not be sold until the registration statement filed with the Securities and Exchange Commission is effective. This preliminary prospectus is not an offer to sell nor does it seek an offer to buy these securities in any jurisdiction where the offer or sale is not permitted. PROSPECTUS (Subject to Completion) Issued , 2021 Class A Common Stock Share...",Index to Financial Statements,"Table of Contents Index to Financial Statements The information in this preliminary prospectus is not complete and may be changed. These securities may not be sold until the registration statement filed with the Securities and Exchange Commission is effective. This preliminary prospectus is not an offer to sell nor does it seek an offer to buy these securities in any jurisdiction where the offer or sale is not permitted. PROSPECTUS (Subject to Completion) Issued , 2021 Class A Common Stock Share"
,,514,cm_customer_retention_rate,Customer Retention Rate,"Table of Contents Index to Financial Statements We were founded in 2015 and have achieved significant growth since our inception. For our fiscal years ended February 1, 2020 and January 30, 2021, our revenue was $119.9 million and $249.9 million, respectively, representing year-over-year growth of 108%. For the nine months ended October 31, 2020 and October 30, 2021, our revenue was $174.0 million and $302.6 million, respectively, representing year-over-year growth of 74%. Our net loss was $210....","Table of Contents Index to Financial Statements We were founded in 2015 and have achieved significant growth since our inception. For our fiscal years ended February 1, 2020 and January 30, 2021, our revenue was $119.9 million and $249.9 million, respectively, representing year-over-year growth of 108%. For the nine months ended October 31, 2020 and October 30, 2021, our revenue was $174.0 million and $302.6 million, respectively, representing year-over-year growth of 74%. Our net loss was $210....",Index to Financial Statements,"Table of Contents Index to Financial Statements We were founded in 2015 and have achieved significant growth since our inception. For our fiscal years ended February 1, 2020 and January 30, 2021, our revenue was $119.9 million and $249.9 million, respectively, representing year-over-year growth of 108%. For the nine months ended October 31, 2020 and October 30, 2021, our revenue was $174.0 million and $302.6 million, respectively, representing year-over-year growth of 74%. Our net loss was $210."
,,516,cm_expansion_revenue,Expansion Revenue,"Table of Contents Index to Financial Statements We were founded in 2015 and have achieved significant growth since our inception. For our fiscal years ended February 1, 2020 and January 30, 2021, our revenue was $119.9 million and $249.9 million, respectively, representing year-over-year growth of 108%. For the nine months ended October 31, 2020 and October 30, 2021, our revenue was $174.0 million and $302.6 million, respectively, representing year-over-year growth of 74%. Our net loss was $210....","Table of Contents Index to Financial Statements We were founded in 2015 and have achieved significant growth since our inception. For our fiscal years ended February 1, 2020 and January 30, 2021, our revenue was $119.9 million and $249.9 million, respectively, representing year-over-year growth of 108%. For the nine months ended October 31, 2020 and October 30, 2021, our revenue was $174.0 million and $302.6 million, respectively, representing year-over-year growth of 74%. Our net loss was $210....",Index to Financial Statements,"Table of Contents Index to Financial Statements We were founded in 2015 and have achieved significant growth since our inception. For our fiscal years ended February 1, 2020 and January 30, 2021, our revenue was $119.9 million and $249.9 million, respectively, representing year-over-year growth of 108%. For the nine months ended October 31, 2020 and October 30, 2021, our revenue was $174.0 million and $302.6 million, respectively, representing year-over-year growth of 74%. Our net loss was $210."
,,517,cm_gross_margin_by_cohort,Gross Margin By Cohort,"Table of Contents Index to Financial Statements Except as otherwise indicated, all information in this prospectus assumes: • the Capital Stock Conversion will occur immediately prior to the completion of this offering; • the filing and effectiveness of our amended and restated certificate of incorporation in Delaware and the effectiveness of our amended and restated bylaws will each occur immediately prior to the completion of this offering; • no exercise of outstanding stock options subsequent ...","Table of Contents Index to Financial Statements The information in this preliminary prospectus is not complete and may be changed. These securities may not be sold until the registration statement filed with the Securities and Exchange Commission is effective. This preliminary prospectus is not an offer to sell nor does it seek an offer to buy these securities in any jurisdiction where the offer or sale is not permitted. PROSPECTUS (Subject to Completion) Issued , 2021 Class A Common Stock Share...",Index to Financial Statements,"Table of Contents Index to Financial Statements Except as otherwise indicated, all information in this prospectus assumes: • the Capital Stock Conversion will occur immediately prior to the completion of this offering; • the filing and effectiveness of our amended and restated certificate of incorporation in Delaware and the effectiveness of our amended and restated bylaws will each occur immediately prior to the completion of this offering; • no exercise of outstanding stock options subsequent "
,,519,cm_lifetime_value_per_customer,Customer Lifetime Value,"Table of Contents Index to Financial Statements The information in this preliminary prospectus is not complete and may be changed. These securities may not be sold until the registration statement filed with the Securities and Exchange Commission is effective. This preliminary prospectus is not an offer to sell nor does it seek an offer to buy these securities in any jurisdiction where the offer or sale is not permitted. PROSPECTUS (Subject to Completion) Issued , 2021 Class A Common Stock Share...","Table of Contents Index to Financial Statements The information in this preliminary prospectus is not complete and may be changed. These securities may not be sold until the registration statement filed with the Securities and Exchange Commission is effective. This preliminary prospectus is not an offer to sell nor does it seek an offer to buy these securities in any jurisdiction where the offer or sale is not permitted. PROSPECTUS (Subject to Completion) Issued , 2021 Class A Common Stock Share...",Index to Financial Statements,"Table of Contents Index to Financial Statements The information in this preliminary prospectus is not complete and may be changed. These securities may not be sold until the registration statement filed with the Securities and Exchange Commission is effective. This preliminary prospectus is not an offer to sell nor does it seek an offer to buy these securities in any jurisdiction where the offer or sale is not permitted. PROSPECTUS (Subject to Completion) Issued , 2021 Class A Common Stock Share"
,,520,cm_ltv_to_cac_ratio,LTV to CAC Ratio,"Table of Contents Index to Financial Statements The information in this preliminary prospectus is not complete and may be changed. These securities may not be sold until the registration statement filed with the Securities and Exchange Commission is effective. This preliminary prospectus is not an offer to sell nor does it seek an offer to buy these securities in any jurisdiction where the offer or sale is not permitted. PROSPECTUS (Subject to Completion) Issued , 2021 Class A Common Stock Share...","Table of Contents Index to Financial Statements The information in this preliminary prospectus is not complete and may be changed. These securities may not be sold until the registration statement filed with the Securities and Exchange Commission is effective. This preliminary prospectus is not an offer to sell nor does it seek an offer to buy these securities in any jurisdiction where the offer or sale is not permitted. PROSPECTUS (Subject to Completion) Issued , 2021 Class A Common Stock Share...",Index to Financial Statements,"Table of Contents Index to Financial Statements The information in this preliminary prospectus is not complete and may be changed. These securities may not be sold until the registration statement filed with the Securities and Exchange Commission is effective. This preliminary prospectus is not an offer to sell nor does it seek an offer to buy these securities in any jurisdiction where the offer or sale is not permitted. PROSPECTUS (Subject to Completion) Issued , 2021 Class A Common Stock Share"
,,515,cm_net_revenue_retention,Net Revenue Retention,"Table of Contents Index to Financial Statements We were founded in 2015 and have achieved significant growth since our inception. For our fiscal years ended February 1, 2020 and January 30, 2021, our revenue was $119.9 million and $249.9 million, respectively, representing year-over-year growth of 108%. For the nine months ended October 31, 2020 and October 30, 2021, our revenue was $174.0 million and $302.6 million, respectively, representing year-over-year growth of 74%. Our net loss was $210....","Table of Contents Index to Financial Statements We were founded in 2015 and have achieved significant growth since our inception. For our fiscal years ended February 1, 2020 and January 30, 2021, our revenue was $119.9 million and $249.9 million, respectively, representing year-over-year growth of 108%. For the nine months ended October 31, 2020 and October 30, 2021, our revenue was $174.0 million and $302.6 million, respectively, representing year-over-year growth of 74%. Our net loss was $210....",Index to Financial Statements,"Table of Contents Index to Financial Statements We were founded in 2015 and have achieved significant growth since our inception. For our fiscal years ended February 1, 2020 and January 30, 2021, our revenue was $119.9 million and $249.9 million, respectively, representing year-over-year growth of 108%. For the nine months ended October 31, 2020 and October 30, 2021, our revenue was $174.0 million and $302.6 million, respectively, representing year-over-year growth of 74%. Our net loss was $210."
,,510,cm_new_customers_acquired,New Customers Acquired,"Table of Contents Index to Financial Statements data and connect it to the cloud. For the physical assets that are increasingly embedded with cloud connectivity, we partner with OEMs to capture data via APIs. Data may also be captured from customer enterprise applications or local software systems. This operational and IT data is ingested into our Data Platform, where it is aggregated, enriched, and analyzed using embedded functionality for AI, workflows and analytics, alerts, API connections, a...","Table of Contents Index to Financial Statements data and connect it to the cloud. For the physical assets that are increasingly embedded with cloud connectivity, we partner with OEMs to capture data via APIs. Data may also be captured from customer enterprise applications or local software systems. This operational and IT data is ingested into our Data Platform, where it is aggregated, enriched, and analyzed using embedded functionality for AI, workflows and analytics, alerts, API connections, a...",Index to Financial Statements,"Table of Contents Index to Financial Statements data and connect it to the cloud. For the physical assets that are increasingly embedded with cloud connectivity, we partner with OEMs to capture data via APIs. Data may also be captured from customer enterprise applications or local software systems. This operational and IT data is ingested into our Data Platform, where it is aggregated, enriched, and analyzed using embedded functionality for AI, workflows and analytics, alerts, API connections, a"
,,513,cm_revenue_by_cohort,Revenue by Customer Cohort,"Table of Contents Index to Financial Statements We were founded in 2015 and have achieved significant growth since our inception. For our fiscal years ended February 1, 2020 and January 30, 2021, our revenue was $119.9 million and $249.9 million, respectively, representing year-over-year growth of 108%. For the nine months ended October 31, 2020 and October 30, 2021, our revenue was $174.0 million and $302.6 million, respectively, representing year-over-year growth of 74%. Our net loss was $210....","Table of Contents Index to Financial Statements We were founded in 2015 and have achieved significant growth since our inception. For our fiscal years ended February 1, 2020 and January 30, 2021, our revenue was $119.9 million and $249.9 million, respectively, representing year-over-year growth of 108%. For the nine months ended October 31, 2020 and October 30, 2021, our revenue was $174.0 million and $302.6 million, respectively, representing year-over-year growth of 74%. Our net loss was $210....",Index to Financial Statements,"Table of Contents Index to Financial Statements We were founded in 2015 and have achieved significant growth since our inception. For our fiscal years ended February 1, 2020 and January 30, 2021, our revenue was $119.9 million and $249.9 million, respectively, representing year-over-year growth of 108%. For the nine months ended October 31, 2020 and October 30, 2021, our revenue was $174.0 million and $302.6 million, respectively, representing year-over-year growth of 74%. Our net loss was $210."
