review_status,notes,metric_definition_id,metric_id,metric_name,definition_normalized,methodology_normalized,section_heading,source_text_preview
incorrect,"definition_normalized should not include ""Table of Contents""; text does not include definition of CAC Payback Period (nor does it refer to anything like that)",168,cm_cac_payback_period,CAC Payback Period,"Table of Contents The selection of merchandise for sale on the Farfetch Marketplace must meet the needs of constantly evolving consumer tastes and adapt to rapidly changing fashion trends. Therefore, our success is also dependent on the ability of our luxury sellers to anticipate, identify and translate changing fashion trends and consumer demands into timely and appropriately curated product offerings. We constantly provide our partners with fashion insight that comes from our analysis of brows...","Table of Contents The selection of merchandise for sale on the Farfetch Marketplace must meet the needs of constantly evolving consumer tastes and adapt to rapidly changing fashion trends. Therefore, our success is also dependent on the ability of our luxury sellers to anticipate, identify and translate changing fashion trends and consumer demands into timely and appropriately curated product offerings. We constantly provide our partners with fashion insight that comes from our analysis of brows...",,"Table of Contents The selection of merchandise for sale on the Farfetch Marketplace must meet the needs of constantly evolving consumer tastes and adapt to rapidly changing fashion trends. Therefore, our success is also dependent on the ability of our luxury sellers to anticipate, identify and translate changing fashion trends and consumer demands into timely and appropriately curated product offerings. We constantly provide our partners with fashion insight that comes from our analysis of brows"
incorrect,"Should not include ""Table of Contents""; Text includes a description of GMV (gross merchandise value), not customer acquisition cost",166,cm_customer_acquisition_cost,Customer Acquisition Cost,"Table of Contents For the year ended December 31, 2017, Platform GMV was $894.4 million, including $74.2 million of Platform Fulfilment Revenue. Platform GMV is generated by the Farfetch Marketplace, which contributed over 95% of Platform GMV for the year ended December 31, 2017. Platform GMV is also generated by Farfetch Black & White, our modular white-label ecommerce solution that provides brands and retailers with services ranging from a full-service branded ecommerce solution to individual ...","Table of Contents For the year ended December 31, 2017, Platform GMV was $894.4 million, including $74.2 million of Platform Fulfilment Revenue. Platform GMV is generated by the Farfetch Marketplace, which contributed over 95% of Platform GMV for the year ended December 31, 2017. Platform GMV is also generated by Farfetch Black & White, our modular white-label ecommerce solution that provides brands and retailers with services ranging from a full-service branded ecommerce solution to individual ...",,"Table of Contents For the year ended December 31, 2017, Platform GMV was $894.4 million, including $74.2 million of Platform Fulfilment Revenue. Platform GMV is generated by the Farfetch Marketplace, which contributed over 95% of Platform GMV for the year ended December 31, 2017. Platform GMV is also generated by Farfetch Black & White, our modular white-label ecommerce solution that provides brands and retailers with services ranging from a full-service branded ecommerce solution to individual "
incorrect,"Should not include ""Table of Contents""; Text describes why the market for Farfetch exists rather than how they calculate number of customers at period end",171,cm_customers_period_end_by_tenure,Customers at Period End by Tenure,"Table of Contents expansive networks of directly operated stores and through department stores. However, the result is often a mismatch between supply and demand, with either excess or redundant inventory or insufficient supply to match local demand. Emerging brands typically have no route to the global market, and their distribution is limited by their ability to finance and produce sufficient supply for each local market. They largely rely on wholesale distribution through a network of indepen...",,,"Table of Contents expansive networks of directly operated stores and through department stores. However, the result is often a mismatch between supply and demand, with either excess or redundant inventory or insufficient supply to match local demand. Emerging brands typically have no route to the global market, and their distribution is limited by their ability to finance and produce sufficient supply for each local market. They largely rely on wholesale distribution through a network of indepen"
incorrect,"Should not include ""Table of Contents""; Text includes a description of changes in tax law enforcement rather than anything about additional sales to customers",164,cm_expansion_revenue,Expansion Revenue,"Table of Contents of operations, financial condition and prospects. Furthermore, taxing authorities have become more aggressive in their interpretation and enforcement of such laws, rules and regulations over time, as governments are increasingly focused on ways to increase revenues. This has contributed to an increase in audit activity and harsher stances by tax authorities. As such, additional taxes or other assessments may be in excess of our current tax reserves or may require us to modify o...","Table of Contents of operations, financial condition and prospects. Furthermore, taxing authorities have become more aggressive in their interpretation and enforcement of such laws, rules and regulations over time, as governments are increasingly focused on ways to increase revenues. This has contributed to an increase in audit activity and harsher stances by tax authorities. As such, additional taxes or other assessments may be in excess of our current tax reserves or may require us to modify o...",,"Table of Contents of operations, financial condition and prospects. Furthermore, taxing authorities have become more aggressive in their interpretation and enforcement of such laws, rules and regulations over time, as governments are increasingly focused on ways to increase revenues. This has contributed to an increase in audit activity and harsher stances by tax authorities. As such, additional taxes or other assessments may be in excess of our current tax reserves or may require us to modify o"
incorrect,"Should not include ""Table of Contents""; Text includes a description of a table that reconciles Adjusted EBITDA to ""loss after tax"", not gross margin by cohort",163,cm_gross_margin_by_cohort,Gross Margin By Cohort,"Table of Contents The following table reconciles Adjusted EBITDA to the most directly comparable IFRS financial performance measure, which is loss after tax: Six months endedJune 30, Year ended December 31, 2017 2018 2015 2016 2017 (in thousands) Loss after tax $ (29,280 ) $ (68,408 ) $ (61,107 ) $ (81,459 ) $ (112,275 ) Net finance costs/(income) (1,690 ) (4,218 ) 4,265 (7,402 ) 17,642 Income tax expense/(credit) (429 ) 714 (628 ) 199 170 Depreciation and amortization 5,019 10,338 3,104 6,897 1...","Table of Contents The following table reconciles Adjusted EBITDA to the most directly comparable IFRS financial performance measure, which is loss after tax: Six months endedJune 30, Year ended December 31, 2017 2018 2015 2016 2017 (in thousands) Loss after tax $ (29,280 ) $ (68,408 ) $ (61,107 ) $ (81,459 ) $ (112,275 ) Net finance costs/(income) (1,690 ) (4,218 ) 4,265 (7,402 ) 17,642 Income tax expense/(credit) (429 ) 714 (628 ) 199 170 Depreciation and amortization 5,019 10,338 3,104 6,897 1...",,"Table of Contents The following table reconciles Adjusted EBITDA to the most directly comparable IFRS financial performance measure, which is loss after tax: Six months endedJune 30, Year ended December 31, 2017 2018 2015 2016 2017 (in thousands) Loss after tax $ (29,280 ) $ (68,408 ) $ (61,107 ) $ (81,459 ) $ (112,275 ) Net finance costs/(income) (1,690 ) (4,218 ) 4,265 (7,402 ) 17,642 Income tax expense/(credit) (429 ) 714 (628 ) 199 170 Depreciation and amortization 5,019 10,338 3,104 6,897 1"
incorrect,,167,cm_lifetime_value_per_customer,Customer Lifetime Value,"Table of Contents For the year ended December 31, 2017, Platform GMV was $894.4 million, including $74.2 million of Platform Fulfilment Revenue. Platform GMV is generated by the Farfetch Marketplace, which contributed over 95% of Platform GMV for the year ended December 31, 2017. Platform GMV is also generated by Farfetch Black & White, our modular white-label ecommerce solution that provides brands and retailers with services ranging from a full-service branded ecommerce solution to individual ...","Table of Contents For the year ended December 31, 2017, Platform GMV was $894.4 million, including $74.2 million of Platform Fulfilment Revenue. Platform GMV is generated by the Farfetch Marketplace, which contributed over 95% of Platform GMV for the year ended December 31, 2017. Platform GMV is also generated by Farfetch Black & White, our modular white-label ecommerce solution that provides brands and retailers with services ranging from a full-service branded ecommerce solution to individual ...",,"Table of Contents For the year ended December 31, 2017, Platform GMV was $894.4 million, including $74.2 million of Platform Fulfilment Revenue. Platform GMV is generated by the Farfetch Marketplace, which contributed over 95% of Platform GMV for the year ended December 31, 2017. Platform GMV is also generated by Farfetch Black & White, our modular white-label ecommerce solution that provides brands and retailers with services ranging from a full-service branded ecommerce solution to individual "
incorrect,,170,cm_ltv_to_cac_ratio,LTV to CAC Ratio,"Table of Contents The selection of merchandise for sale on the Farfetch Marketplace must meet the needs of constantly evolving consumer tastes and adapt to rapidly changing fashion trends. Therefore, our success is also dependent on the ability of our luxury sellers to anticipate, identify and translate changing fashion trends and consumer demands into timely and appropriately curated product offerings. We constantly provide our partners with fashion insight that comes from our analysis of brows...","Table of Contents The selection of merchandise for sale on the Farfetch Marketplace must meet the needs of constantly evolving consumer tastes and adapt to rapidly changing fashion trends. Therefore, our success is also dependent on the ability of our luxury sellers to anticipate, identify and translate changing fashion trends and consumer demands into timely and appropriately curated product offerings. We constantly provide our partners with fashion insight that comes from our analysis of brows...",,"Table of Contents The selection of merchandise for sale on the Farfetch Marketplace must meet the needs of constantly evolving consumer tastes and adapt to rapidly changing fashion trends. Therefore, our success is also dependent on the ability of our luxury sellers to anticipate, identify and translate changing fashion trends and consumer demands into timely and appropriately curated product offerings. We constantly provide our partners with fashion insight that comes from our analysis of brows"
incorrect,,169,cm_net_revenue_retention,Net Revenue Retention,"Table of Contents The selection of merchandise for sale on the Farfetch Marketplace must meet the needs of constantly evolving consumer tastes and adapt to rapidly changing fashion trends. Therefore, our success is also dependent on the ability of our luxury sellers to anticipate, identify and translate changing fashion trends and consumer demands into timely and appropriately curated product offerings. We constantly provide our partners with fashion insight that comes from our analysis of brows...","Table of Contents The selection of merchandise for sale on the Farfetch Marketplace must meet the needs of constantly evolving consumer tastes and adapt to rapidly changing fashion trends. Therefore, our success is also dependent on the ability of our luxury sellers to anticipate, identify and translate changing fashion trends and consumer demands into timely and appropriately curated product offerings. We constantly provide our partners with fashion insight that comes from our analysis of brows...",,"Table of Contents The selection of merchandise for sale on the Farfetch Marketplace must meet the needs of constantly evolving consumer tastes and adapt to rapidly changing fashion trends. Therefore, our success is also dependent on the ability of our luxury sellers to anticipate, identify and translate changing fashion trends and consumer demands into timely and appropriately curated product offerings. We constantly provide our partners with fashion insight that comes from our analysis of brows"
partial,"Should not include ""Table of Contents""; Text includes a description of how Platform Gross Merchandise Volume (a measure of revenue) is calculated, but does not attribute revenue to cohorts",165,cm_revenue_by_cohort,Revenue by Customer Cohort,"Table of Contents For the year ended December 31, 2017, Platform GMV was $894.4 million, including $74.2 million of Platform Fulfilment Revenue. Platform GMV is generated by the Farfetch Marketplace, which contributed over 95% of Platform GMV for the year ended December 31, 2017. Platform GMV is also generated by Farfetch Black & White, our modular white-label ecommerce solution that provides brands and retailers with services ranging from a full-service branded ecommerce solution to individual ...","Table of Contents For the year ended December 31, 2017, Platform GMV was $894.4 million, including $74.2 million of Platform Fulfilment Revenue. Platform GMV is generated by the Farfetch Marketplace, which contributed over 95% of Platform GMV for the year ended December 31, 2017. Platform GMV is also generated by Farfetch Black & White, our modular white-label ecommerce solution that provides brands and retailers with services ranging from a full-service branded ecommerce solution to individual ...",,"Table of Contents For the year ended December 31, 2017, Platform GMV was $894.4 million, including $74.2 million of Platform Fulfilment Revenue. Platform GMV is generated by the Farfetch Marketplace, which contributed over 95% of Platform GMV for the year ended December 31, 2017. Platform GMV is also generated by Farfetch Black & White, our modular white-label ecommerce solution that provides brands and retailers with services ranging from a full-service branded ecommerce solution to individual "
partial,"Should not include ""Table of Contents""; Text includes a description of how Adjusted Marketplace Revenue is calculated, but not how revenue is concentrated among a subset of customers",172,cm_revenue_concentration,Revenue Concentration,"Table of Contents Adjusted Marketplace Revenue means Adjusted Platform Revenue after deducting platform revenue not derived from the Farfetch Marketplace. Platform Fulfilment Revenue means revenue from shipping and customs clearing services that we provide to our consumers, net of consumer promotional incentives, such as free shipping and promotional codes. Platform Gross Profit means gross profit excluding Browns In-Store Gross Profit. Platform Order Contribution means gross profit after deduct...","Table of Contents Adjusted Marketplace Revenue means Adjusted Platform Revenue after deducting platform revenue not derived from the Farfetch Marketplace. Platform Fulfilment Revenue means revenue from shipping and customs clearing services that we provide to our consumers, net of consumer promotional incentives, such as free shipping and promotional codes. Platform Gross Profit means gross profit excluding Browns In-Store Gross Profit. Platform Order Contribution means gross profit after deduct...",,"Table of Contents Adjusted Marketplace Revenue means Adjusted Platform Revenue after deducting platform revenue not derived from the Farfetch Marketplace. Platform Fulfilment Revenue means revenue from shipping and customs clearing services that we provide to our consumers, net of consumer promotional incentives, such as free shipping and promotional codes. Platform Gross Profit means gross profit excluding Browns In-Store Gross Profit. Platform Order Contribution means gross profit after deduct"
