company,ticker,date,metric_id,value,unit,period,source_type,raw_text,confidence,section,is_trap,disposition,disposition_reason,split
Adobe,ADBE,2024-12-11,cm_arr,578000000,currency,Q4 FY2024,text,"In Q4, we achieved net new digital media ARR of $578 million",HIGH,prepared_remarks,false,ACCEPT,,tuning
Adobe,ADBE,2024-12-11,cm_arr,2000000000,currency,FY2024,text,We ended the year with just over $2 billion of net new digital media ARR for the first time ever,HIGH,prepared_remarks,false,ACCEPT,,tuning
Adobe,ADBE,2024-12-11,cm_arr,1000000000,currency,Q4 FY2024,text,The book of business for Adobe Experience Platform and native apps surpassed $1 billion in the quarter,HIGH,prepared_remarks,false,ACCEPT,,tuning
Adobe,ADBE,2024-12-11,cm_arr,173000000,currency,Q4 FY2024,text,"In Q4, we achieved document cloud revenue of $843 million, growing 17% year-over-year. We set a record for net new Document Cloud ARR of $173 million",HIGH,prepared_remarks,false,ACCEPT,,tuning
Adobe,ADBE,2024-12-11,cm_arr,3480000000,currency,Q4 FY2024,text,"with ending ARR of $3.48 billion, growing 23% year-over-year",HIGH,prepared_remarks,false,ACCEPT,,tuning
Adobe,ADBE,2024-12-11,cm_arr,405000000,currency,Q4 FY2024,text,Net new Creative Cloud ARR was $405 million,HIGH,prepared_remarks,false,ACCEPT,,tuning
Adobe,ADBE,2024-12-11,cm_arr,17330000000,currency,Q4 FY2024,text,"We exited the quarter with $17.33 billion of digital media ARR, growing our ending ARR book of business 13% year-over-year",HIGH,prepared_remarks,false,ACCEPT,,tuning
Adobe,ADBE,2024-12-11,cm_monthly_active_users,650000000,count,Q4 FY2024,text,"Continued growth of monthly active users, which grew over 25% year-over-year, surpassing 650 million paid and free users",HIGH,prepared_remarks,false,ACCEPT,,tuning
Adobe,ADBE,2024-12-11,cm_large_customers_period_end,48,count,Q4 FY2024,text,with 48 of the Fortune 100 companies now leveraging these solutions,HIGH,prepared_remarks,false,ACCEPT,,tuning
Adobe,ADBE,2024-12-11,cm_large_customers_period_end,85,count,Q4 FY2024,text,Continued strength in retention and expansion across our enterprise customers with digital experience solutions being leveraged by 85 of the Fortune 100 companies,HIGH,prepared_remarks,false,ACCEPT,,tuning
Adobe,ADBE,2024-12-11,cm_new_customers_acquired,4000,count,FY2024,text,"We added 4,000 new businesses this year.",HIGH,q_and_a,false,ACCEPT,Added by reviewer (LLM missed),tuning
Adobe,ADBE,2024-12-11,cm_monthly_active_users,650000000,count,Q4 FY2024,text,"Other highlights include continued growth of monthly active users, which grew over 25% year-over-year, surpassing 650 million paid and free users.",HIGH,prepared_remarks,false,ACCEPT,Added by reviewer (LLM missed),tuning
Adobe,ADBE,2025-03-12,cm_arr,17630000000,currency,Q1 FY2025,text,"We exited the quarter with $17.63 billion of Digital Media ARR, growing our ending ARR book of business 12.6% year-over-year.",HIGH,prepared_remarks,false,ACCEPT,,tuning
Adobe,ADBE,2025-03-12,cm_arr,1000000000,currency,Q1 FY2025,text,GenStudio solution surpassing $1B in ending ARR book of business.,HIGH,prepared_remarks,false,ACCEPT,,tuning
Adobe,ADBE,2025-03-12,cm_monthly_active_users,23,percent,Q1 FY2025,text,Acrobat and Reader monthly active usage growing 23% year-over-year.,HIGH,prepared_remarks,false,ACCEPT,,tuning
Adobe,ADBE,2025-03-12,cm_monthly_active_users,50,percent,Q1 FY2025,text,strong adoption of link sharing for richer collaborative experiences have led to approximately 50% year-over-year growth in Acrobat web monthly active usage.,HIGH,prepared_remarks,false,ACCEPT,,tuning
Adobe,ADBE,2025-03-12,cm_new_customers_acquired,6000,count,Q1 FY2025,text,"Express onboarded nearly 6,000 new businesses in Q1, representing approximately 50% quarter-over-quarter growth.",HIGH,prepared_remarks,false,ACCEPT,,tuning
Autodesk,ADSK,2024-11-26,cm_net_revenue_retention,100,percent,Q3 FY2025,text,Net revenue retention rate remained within the 100% to 110% range at constant exchange rate.,HIGH,prepared_remarks,false,ACCEPT,,tuning
Autodesk,ADSK,2024-11-26,cm_net_revenue_retention,110,percent,Q3 FY2025,text,Net revenue retention rate remained within the 100% to 110% range at constant exchange rate.,HIGH,prepared_remarks,false,ACCEPT,,tuning
Autodesk,ADSK,2025-02-27,cm_net_revenue_retention,100,percent,FY2026,text,"in the modeling guidelines, we've provided a view on how we are thinking about fiscal '26, which is basically the same as it was in fiscal '25. It's a range of 100% to 110%.",MEDIUM,q_and_a,FALSE,ACCEPT,Lower bound of stated 100-110% range,tuning
Autodesk,ADSK,2025-02-27,cm_new_customers_acquired,400,count,Q4 FY2025,text,we added almost 400 net new logos,HIGH,prepared_remarks,FALSE,ACCEPT,,tuning
CRM,CRM,2019-12-03,cm_customer_churn_rate,10,percent,Q3 FY2020,text,"Lower attrition continue to support our growth in the third quarter with dollar attrition down modestly year-over-year, remaining below 10%",MEDIUM,prepared_remarks,false,ACCEPT,,tuning
CRM,CRM,2020-02-25,cm_customer_churn_rate,9,percent,FY2020,text,the revenue attrition for the year is now currently below 9%. This is a historic low for Salesforce.,HIGH,prepared_remarks,false,ACCEPT,full-year FY2020 revenue attrition; 9 is upper bound (below 9%),tuning
Salesforce,CRM,2024-12-03,cm_customers_period_end,135000,count,Q3 FY2025,text,"We have 135,000 customers and those 135,000 customers have now been endowed with Agentforce",HIGH,prepared_remarks,false,ACCEPT,,tuning
Salesforce,CRM,2024-12-03,cm_customer_churn_rate,8,percent,Q3 FY2025,text,"Q3 revenue attrition ended the quarter slightly above 8%, in line with recent quarters",HIGH,prepared_remarks,false,ACCEPT,revenue attrition maps to cm_customer_churn_rate per CRM precedent; 8 is a floor (slightly above),tuning
Salesforce,CRM,2025-02-26,cm_large_customers_period_end,7500,count,Q4 FY2025,text,We closed more than 400 deals over a million. All of our top 10 wins included Data and AI.,MEDIUM,prepared_remarks,false,ACCEPT,,tuning
Salesforce,CRM,2025-02-26,cm_arr,900000000,currency,Q4 FY2025,text,"We ended this year with $900 million in Data Cloud and AI. ARR, it grew a 120% year-over-year.",HIGH,prepared_remarks,false,ACCEPT,,tuning
Salesforce,CRM,2025-02-26,cm_arr,5700000000,currency,Q4 FY2025,text,"Our industry business, along with public sector and .org finished the year at an incredible $5.7 billion in ARR, up 20% year-over-year.",HIGH,prepared_remarks,false,ACCEPT,,tuning
Salesforce,CRM,2025-02-26,cm_customer_churn_rate,8,percent,Q4 FY2025,text,"Q4 revenue attrition ended the quarter slightly above 8%, in line with recent quarters.",HIGH,prepared_remarks,false,ACCEPT,,tuning
Electronic Arts,EA,2025-02-04,cm_active_customers_total,40000000,count,Q3 FY2025,text,"Despite having 40 million players across our catalog of HD titles, our December promotional events to drive conversion, fell short of expectations",HIGH,prepared_remarks,false,EDIT,Changed to cm_active_customers_total; players implies active engagement not period-end subscriber count,tuning
Electronic Arts,EA,2025-05-06,cm_new_customers_acquired,5000000,count,FY2025,text,"For example, this experience grew our audience by adding over 5 million new fans to the ecosystem.",MEDIUM,prepared_remarks,false,ACCEPT,,tuning
Electronic Arts,EA,2025-05-06,cm_customers_period_end,600000,count,Q4 FY2025,text,"Over 600,000 players have signed up for Labs to date, alongside an amazing 350 million views of the Battlefield content since our announcement.",HIGH,prepared_remarks,false,EDIT,Changed to cm_customers_period_end; 'to date' implies cumulative signups not new acquisitions in period,tuning
GoDaddy,GDDY,2025-02-13,cm_arr,4000000000,currency,Q4 FY2024,text,Consolidated annual recurring revenue grew 8% to $4 billion.,HIGH,prepared_remarks,false,ACCEPT,,test
GoDaddy,GDDY,2025-02-13,cm_customers_period_end,20500000,count,FY2024,text,"By eliminating deep discounts, completing targeted divestitures, and migrating certain offerings our customer base declined to 20.5 million.",HIGH,prepared_remarks,false,ACCEPT,,test
GoDaddy,GDDY,2025-02-13,cm_revenue_per_customer,220,currency,FY2024,text,ARPU is also up 8% to $220.,HIGH,prepared_remarks,false,ACCEPT,,test
GoDaddy,GDDY,2025-02-13,cm_customer_retention_rate,85,percent,FY2024,text,"nearly all customers are now on our integrated platform, which boasts an impressive 85% plus retention rate",HIGH,prepared_remarks,false,ACCEPT,lower bound (85% plus); integrated-platform customers,test
GoDaddy,GDDY,2025-02-13,cm_customer_retention_rate,84,percent,FY2024,text,despite our overall company retention rate dipping slightly to 84%,HIGH,prepared_remarks,false,ACCEPT,overall company retention rate; distinct from integrated-platform figure,test
GoDaddy,GDDY,2025-05-01,cm_arr,4100000000,currency,Q1 2025,text,Annual recurring revenue grew 7% to $4.1 billion.,HIGH,prepared_remarks,false,ACCEPT,,test
GoDaddy,GDDY,2025-05-01,cm_customers_period_end,20500000,count,Q1 2025,text,"Since year end, our customer count has remained stable at 20.5 million as we lap the impact of the last divestiture.",HIGH,prepared_remarks,false,ACCEPT,,test
GoDaddy,GDDY,2025-05-01,cm_revenue_per_customer,225,currency,Q1 2025,text,our ARPU grew 9% to $225 on a trailing 12-month basis,HIGH,prepared_remarks,false,ACCEPT,trailing 12-month basis,test
GoDaddy,GDDY,2025-05-01,cm_customer_retention_rate,85,percent,Q1 2025,text,retention above 85% for customers on our GoDaddy platform,HIGH,prepared_remarks,false,ACCEPT,lower bound; integrated-platform customers,test
