company,ticker,date,metric_id,value,unit,period,source_type,raw_text,context_before,context_after,header_path,stub_path,confidence,section,is_trap,disposition,disposition_reason
DASH,DASH,2020-12-07,cm_new_customers_acquired,90M,count,other,html_table,90M,,,Customer acquisition.DoorDash connects merchants with over 18 million consumers.90Merchants can also use DoorDash to initiate and run promotions to attract new consumers and drive incremental sales.,,LOW,unknown,False,,
DASH,DASH,2020-12-07,cm_new_customers_acquired,18 million,count,other,html_table,18 million,,,"Demand Creation.With over 18 million consumers on our local logistics platform,77we provide merchants with access to highly engaged consumers in their communities. We create demand for merchants through personalization and merchandising strategies that curate selection. For
example, we often curate and feature “Local Picks” prominently to showcase new merchants or recent trends, such as Bay Cities Italian Deli, a Los Angeles-area institution. Our local logistics platform further personalizes selection based
on individual consumer order patterns and other factors. We also enable merchants to run targeted marketing campaigns to feature anything from a specific store to a new product. A consumer survey conducted by Cowen indicates that nearly 80% of
delivery orders are incremental to merchants’ on-premise businesses,78enabling them to serve new customers and leverage fixed costs to generate incremental revenue and profit.",,LOW,unknown,False,,
DASH,DASH,2020-12-07,cm_new_customers_acquired,30 million,count,other,text,30 million,"local logistics platform, or in-person pickup by consumers. Through our Marketplace, merchants can also initiate and run promotions to drive incremental sales and attract new consumers. There are over","small businesses in the United States,6 and they form the building blocks of local economies and communities. Small businesses, including family-owned businesses, local entrepreneurs, and operators or",,,LOW,cover,False,,
DASH,DASH,2020-12-07,cm_new_customers_acquired,20,other,other,text,20,"rsonalization and merchandising strategies that curate selection. A consumer survey conducted by Cowen indicates that nearly 80% of delivery orders are incremental to merchants’ on-premise businesses,",enabling them to serve new customers and leverage fixed costs to generate incremental revenue and profit. • Broad Array of Merchant Services. We offer a broad array of services that enable merchants t,,,LOW,cover,False,,
DASH,DASH,2020-12-07,cm_revenue_by_cohort,80%,percent,other,html_table,80%,,,"Demand Creation.We provide merchants with access to highly engaged consumers in their communities, and we create
demand for merchants through personalization and merchandising strategies that curate selection. A consumer survey conducted by Cowen indicates that nearly 80% of delivery orders are incremental to merchants’ on-premise businesses,20enabling them to serve new customers and leverage fixed costs to generate incremental revenue and profit.",,LOW,unknown,False,,
DASH,DASH,2020-12-07,cm_revenue_by_cohort,0%,percent,other,text,0%,"sumers in their communities, and we create demand for merchants through personalization and merchandising strategies that curate selection. A consumer survey conducted by Cowen indicates that nearly 8","of delivery orders are incremental to merchants’ on-premise businesses,20 enabling them to serve new customers and leverage fixed costs to generate incremental revenue and profit. • Broad Array of Me",,,LOW,cover,False,,
DASH,DASH,2020-12-07,cm_purchase_transactions_overall,543,other,2020-01-01 to 2020-09-30,html_table,543,,,"Nine Months EndedSeptember 30, > 2020 > (in millions, except percentages) > 543",Total Orders,HIGH,unknown,False,,
DASH,DASH,2020-12-07,cm_purchase_transactions_overall,181,other,2019-01-01 to 2019-09-30,html_table,181,,,"Nine Months EndedSeptember 30, > 2019 > (in millions, except percentages) > 181",Total Orders,HIGH,unknown,False,,
DASH,DASH,2020-12-07,cm_purchase_transactions_overall,83,other,2018-01-01 to 2018-09-30,text,83,"affecting our business, formulate business plans, and make strategic decisions: Year EndedDecember 31, Nine Months EndedSeptember 30, 2018 2019 2019 2020 (in millions, except percentages) Total Orders","263 181 543 Marketplace GOV $ 2,812 $ 8,039 $ 5,537 $ 16,485 Contribution Profit (Loss)(1) $ (59 ) $ (200 ) $ (190) $ 433 Contribution Margin(1) (20 )% (23 )% (32) % 23 % Contribution Profit (Loss) as",,,LOW,cover,False,,
DASH,DASH,2020-12-07,cm_purchase_transactions_overall,59,other,2018-01-01 to 2018-09-30,text,59,"31, Nine Months EndedSeptember 30, 2018 2019 2019 2020 (in millions, except percentages) Total Orders 83 263 181 543 Marketplace GOV $ 2,812 $ 8,039 $ 5,537 $ 16,485 Contribution Profit (Loss)(1) $ (",) $ (200 ) $ (190) $ 433 Contribution Margin(1) (20 )% (23 )% (32) % 23 % Contribution Profit (Loss) as a % of Marketplace GOV (2 )% (2 )% (3) % 3 % Adjusted EBITDA(1) $ (158 ) $ (475 ) $ (372) $ 95,,,LOW,cover,False,,
